uniprot_id,component_id
Q4VQ11,4044
Q81VW8,4108
P00376,4114
P05089,3950
O00443,3955
Q5S007,3994
Q12974,3995
Q63633,3998
Q9NR20,4054
P30613,4065
Q49PX0,4067
Q12931,4122
Q8WTQ7,4123
Q9NUW8,4128
Q9GZQ4,4175
P55072,4176
Q15208,4186
Q13304,4244
Q8TF76,4245
Q9WUL0,4246
Q8NEB9,4247
P35626,4248
Q8NE63,4249
Q93096,4251
Q9JII9,4292
Q9H4A3,4293
P0A3M1,4294
Q9HB89,4298
P14618,4349
Q9UL54,4355
P00563,4399
P21588,4412
P15387,4463
P97639,4465
P22985,4521
P61814,4613
Q9R1C8,4618
Q61618,4619
O70126,4625
P22518,4673
O35491,4674
O35492,4675
O35493,4676
Q9Z2A7,4677
P28776,4728
Q923I7,4736
P48776,3905
P61964,3915
Q7Z2W7,1656
C3L5T6,5465
P14625,5468
O75460,5489
P20794,5494
Q9UEW8,5496
P43071,5497
P04401,5499
Q2XUH7,4787
O95382,4788
O60885,5501
Q9UPZ9,5502
Q52WX2,5505
Q27793,5506
P10398,5125
P00349,5126
P03433,5127
Q6UCJ9,5226
Q15393,5282
Q15717,5366
O94759,5470
O15151,4808
Q7TMR0,5351
Q91ZY3,5398
Q9H237,5401
Q9JJJ7,5402
P50053,5161
P9WNP5,5163
Q96LA8,5170
Q9Y468,5446
Q96JM7,5447
P04839,4834
Q9BZP6,4846
O55193,4886
Q9Y239,5139
P10636,5140
B2RXH2,5142
P54132,4893
P15428,5150
Q9HC29,4969
Q9HC97,4970
A3EZJ3,4972
P14735,5011
P25440,5013
P48048,5071
P48145,5072
P54578,5074
Q03164,5131
Q9Y570,5194
P14598,5060
O00255,3034
Q9H2X9,4971
Q8TDS5,5065
P78348,4824
P35414,4828
Q5TIX5,5271
Q39829,5276
Q13609,5095
P13500,5099
Q6Q793,5463
Q2LFS1,5078
C4LRQ6,5079
C7C422,5279
Q96HE7,5511
P14927,5514
Q9WV26,5515
P0A017,4947
P00591,5236
Q08752,4869
Q00496,4873
P49763,5246
O15305,5524
P31941,5329
P51449,5336
Q61009,5392
Q96P20,5431
Q9HC16,5481
Q9QUQ5,5483
Q9UIF8,5484
Q9Y4P1,5485
Q96FL8,5521
Q16873,5310
Q99814,4911
P43490,4914
O95931,5379
Q8TBX8,5414
Q9ESG6,5426
P34896,4865
P11387,72
Q9BJF5,4906
P11021,5108
P14324,73
