"_ingestion_ts","_run_id","_run_type","_source_batch_id","abstract","accepted_date","authors","content_hash","country","doi","entity_id","epub_date","issn","issue","journal","journal_abbrev","keywords","language","mesh_terms","pages","pmc_id","pmid","pub_date","pub_year","publication_types","publication_year","received_date","revised_date","title","volume"
"2025-12-24T17:04:42.429411+00:00","f0db21dd-65c0-4e25-9914-cce2423c7f3c","incremental","None","Substituted heterocyclic analogs in the Flosulide class were investigated as potential selective cyclooxygenase-2 inhibitors. 6-(4-Ethyl-2-thiazolylthio)-5-methanesulfonamido-3H-isobe nzofuran-1-one 14 was found to be the optimal compound in the series with superior in vitro and in vivo activities.","","[""Ouimet, N"", ""Chan, CC"", ""Charleson, S"", ""Claveau, D"", ""Gordon, R"", ""Guay, D"", ""Li, CS"", ""Ouellet, M"", ""Percival, DM"", ""Riendeau, D"", ""Wong, E"", ""Zamboni, R"", ""Prasit, P""]","ad3ad5138be80083643bbdc036d74db662d20c7d8615ab93700f86f3f3ff4a3b","England","10.1016/s0960-894x(98)00705-7","pubmed:10021918","","0960-894X","2","Bioorganic & medicinal chemistry letters","Bioorg Med Chem Lett","[]","eng","[""Animals"", ""CHO Cells"", ""Cricetinae"", ""Cyclooxygenase 2"", ""Cyclooxygenase 2 Inhibitors"", ""Cyclooxygenase Inhibitors"", ""Humans"", ""Indans"", ""Inhibitory Concentration 50"", ""Isoenzymes"", ""Membrane Proteins"", ""Microsomes"", ""Prostaglandin-Endoperoxide Synthases"", ""Sulfonamides"", ""U937 Cells""]","151-6","","10021918","1999-01-18",1999,"[""Comparative Study"", ""Journal Article""]",1999,"","","Substituted heterocyclic analogs as selective COX-2 inhibitors in the flosulide class.","9"
"2025-12-24T17:04:42.429770+00:00","f0db21dd-65c0-4e25-9914-cce2423c7f3c","incremental","None","4-Hydroxymethyl-5a-methyl-1,3,4,5,5a beta,6,7,8,9,9a alpha-decahydro-2H-benz[d]azepin-2-ones (4-12), which were designed to mimic the biologically active conformation of teleocidins and benzolactams, were synthesized and evaluated for the ability to compete with [3H]phorbol 12,13-dibutyrate in a PKC delta binding assay. Among the compounds, 10-12 showed potent binding affinity, with inhibition constants (Ki) of low nanomolar order. Computational docking simulation also indicates that the relative positions of the hydrogen-bonding sites and hydrophobic regions of the compounds are well matched to the PKC delta binding site.","","[""Endo, Y"", ""Shimazu, M"", ""Fukasawa, H"", ""Driedger, PE"", ""Kimura, K"", ""Tomioka, N"", ""Itai, A"", ""Shudo, K""]","c8f7e318492bedf7e9f42e42856d08cf44c2eb6e47080a33173581a4205ec2e0","England","10.1016/s0960-894x(98)00724-0","pubmed:10021922","","0960-894X","2","Bioorganic & medicinal chemistry letters","Bioorg Med Chem Lett","[]","eng","[""Benzazepines"", ""Binding, Competitive"", ""Computer Simulation"", ""Lactams"", ""Lyngbya Toxins"", ""Models, Molecular"", ""Phorbol 12,13-Dibutyrate"", ""Protein Kinase C""]","173-8","","10021922","1999-01-18",1999,"[""Journal Article"", ""Research Support, Non-U.S. Gov't""]",1999,"","","Synthesis, computer modeling and biological evaluation of novel protein kinase C agonists based on a 7-membered lactam moiety.","9"
"2025-12-24T17:04:42.430231+00:00","f0db21dd-65c0-4e25-9914-cce2423c7f3c","incremental","None","","","[""Groneberg, RD"", ""Burns, CJ"", ""Morrissette, MM"", ""Ullrich, JW"", ""Morris, RL"", ""Darnbrough, S"", ""Djuric, SW"", ""Condon, SM"", ""McGeehan, GM"", ""Labaudiniere, R"", ""Neuenschwander, K"", ""Scotese, AC"", ""Kline, JA""]","566963e4dff2c6e513f40b9b103224b95d27a95bbee25dc7cd218b7e7b19cf53","United States","10.1021/jm980567e","pubmed:10052961","","0022-2623","4","Journal of medicinal chemistry","J Med Chem","[]","eng","[""3',5'-Cyclic-AMP Phosphodiesterases"", ""Animals"", ""Cyclic Nucleotide Phosphodiesterases, Type 4"", ""Fibroblasts"", ""Gelatinases"", ""Guinea Pigs"", ""Hydroxamic Acids"", ""Macrophages"", ""Matrix Metalloproteinase 1"", ""Matrix Metalloproteinase 2"", ""Matrix Metalloproteinase Inhibitors"", ""Metalloendopeptidases"", ""Phosphodiesterase Inhibitors"", ""Protease Inhibitors"", ""Structure-Activity Relationship"", ""Sulfones""]","541-4","","10052961","1999-02-25",1999,"[""Journal Article""]",1999,"","","Dual inhibition of phosphodiesterase 4 and matrix metalloproteinases by an (arylsulfonyl)hydroxamic acid template.","42"
"2025-12-24T17:04:42.430605+00:00","f0db21dd-65c0-4e25-9914-cce2423c7f3c","incremental","None","Novel carbamates as derivatives of 3-(1H-imidazol-4-yl)propanol with an N-alkyl chain were prepared as histamine H3-receptor antagonists. Branching of the N-alkyl side chain with methyl groups led to chiral compounds which were synthesized stereospecifically by a Mitsunobu protocol adapted Gabriel synthesis. The optical purity of some of the chiral compounds was determined (ee > 95%) by capillary electrophoresis (CE). The investigated compounds showed pronounced to high antagonist activity (Ki values of 4.1-316 nM) in a functional test for histamine H3 receptors on rat cerebral cortex synaptosomes. Similar H3-receptor antagonist activities were observed in a peripheral model on guinea pig ileum. No stereoselective discrimination for the H3 receptor for the chiral antagonists was found with the in vitro assays. All compounds were also screened for central H3-receptor antagonist activity in vivo in mice after po administration. Most compounds were potent agents of the H3-receptor-mediated enhancement of brain Ntau-methylhistamine levels. The enantiomers of the N-2-heptylcarbamate showed a stereoselective differentiation in their pharmacological effect in vivo (ED50 of 0.39 mg/kg for the (S)-derivative vs 1.5 mg/kg for the (R)-derivative) most probably caused by differences in pharmacokinetic parameters. H1- and H2-receptor activities were determined for some of the novel carbamates, demonstrating that they have a highly selective action at the histamine H3 receptor.","","[""Sasse, A"", ""Kiec-Kononowicz, K"", ""Stark, H"", ""Motyl, M"", ""Reidemeister, S"", ""Ganellin, CR"", ""Ligneau, X"", ""Schwartz, JC"", ""Schunack, W""]","3bea91456a434863a3f0a58fb5251856cdc454ffbbc9f9c2773fe4d4c3c8a5f2","United States","10.1021/jm9804376","pubmed:10052966","","0022-2623","4","Journal of medicinal chemistry","J Med Chem","[]","eng","[""Administration, Oral"", ""Animals"", ""Carbamates"", ""Cerebral Cortex"", ""Drug Evaluation, Preclinical"", ""Electrophoresis, Capillary"", ""Guinea Pigs"", ""Heart Atria"", ""Histamine Antagonists"", ""Ileum"", ""In Vitro Techniques"", ""Mice"", ""Rats"", ""Receptors, Histamine H1"", ""Receptors, Histamine H2"", ""Receptors, Histamine H3"", ""Stereoisomerism"", ""Structure-Activity Relationship"", ""Synaptosomes""]","593-600","","10052966","1999-02-25",1999,"[""Journal Article"", ""Research Support, Non-U.S. Gov't""]",1999,"","","Development of chiral N-alkylcarbamates as new leads for potent and selective H3-receptor antagonists: synthesis, capillary electrophoresis, and in vitro and oral in vivo activity.","42"
"2025-12-24T17:04:42.430960+00:00","f0db21dd-65c0-4e25-9914-cce2423c7f3c","incremental","None","Molecular modeling analysis of compounds belonging to the recently published series of dihydro-alkoxy-benzyl-oxopyrimidines (DABOs), such as S-DABOs and DATNOs, gave support to the design of new 2, 6-disubstituted benzyl-DABO derivatives as highly potent and specific inhibitors of the HIV-1 reverse transcriptase (RT). To follow up on the novel DABO derivatives, we decided to investigate the effect of electron-withdrawing substituents in the benzyl unit of the S-DABO skeleton versus their anti-HIV-1 activity. Such chemical modifications impacted the inhibitory activity, especially when two halogen units were introduced at positions 2 and 6 in the phenyl portion of the benzyl group bound to C-6 of the pyrimidine ring. Various 5-alkyl-2-(alkyl(or cycloalkyl)thio)-6-(2, 6-dichloro(or 2,6-difluoro)phenylmethyl)-3, 4-dihydropyrimidin-4(3H)-ones were then synthesized and tested as anti-HIV-1 agents in both cell-based and enzyme (recombinant reverse transcriptase, rRT) assays. Among the various mono- and disubstituted phenyl derivatives, the most potent were those containing a 6-(2,6-difluorophenylmethyl) substituent (F-DABOs), which showed EC50's ranging between 40 and 90 nM and selectivity indexes up to >/=5000. An excellent correlation was found between EC50 and IC50 values which confirmed that these compounds act as inhibitors of the HIV-1 RT. The structure-activity relationships of the newly synthesized pyrimidinones are presented herein.","","[""Mai, A"", ""Artico, M"", ""Sbardella, G"", ""Massa, S"", ""Novellino, E"", ""Greco, G"", ""Loi, AG"", ""Tramontano, E"", ""Marongiu, ME"", ""La Colla, P""]","825499cdcb2fdf7e293aff0bb4fc951164157a23c0c011adea6654d69106e8d3","United States","10.1021/jm980260f","pubmed:10052969","","0022-2623","4","Journal of medicinal chemistry","J Med Chem","[]","eng","[""Animals"", ""Anti-HIV Agents"", ""Cell Line"", ""Cell Survival"", ""Drug Design"", ""HIV Reverse Transcriptase"", ""HIV-1"", ""Mice"", ""Models, Molecular"", ""Pyrimidines"", ""Recombinant Proteins"", ""Reverse Transcriptase Inhibitors"", ""Structure-Activity Relationship""]","619-27","","10052969","1999-02-25",1999,"[""Journal Article"", ""Research Support, Non-U.S. Gov't""]",1999,"","","5-Alkyl-2-(alkylthio)-6-(2,6-dihalophenylmethyl)-3, 4-dihydropyrimidin-4(3H)-ones: novel potent and selective dihydro-alkoxy-benzyl-oxopyrimidine derivatives.","42"
"2025-12-24T17:04:44.598388+00:00","289a602b-ea09-46ad-9205-ebbcd00f237a","incremental","None","Substituted heterocyclic analogs in the Flosulide class were investigated as potential selective cyclooxygenase-2 inhibitors. 6-(4-Ethyl-2-thiazolylthio)-5-methanesulfonamido-3H-isobe nzofuran-1-one 14 was found to be the optimal compound in the series with superior in vitro and in vivo activities.","","[""Ouimet, N"", ""Chan, CC"", ""Charleson, S"", ""Claveau, D"", ""Gordon, R"", ""Guay, D"", ""Li, CS"", ""Ouellet, M"", ""Percival, DM"", ""Riendeau, D"", ""Wong, E"", ""Zamboni, R"", ""Prasit, P""]","ad3ad5138be80083643bbdc036d74db662d20c7d8615ab93700f86f3f3ff4a3b","England","10.1016/s0960-894x(98)00705-7","pubmed:10021918","","0960-894X","2","Bioorganic & medicinal chemistry letters","Bioorg Med Chem Lett","[]","eng","[""Animals"", ""CHO Cells"", ""Cricetinae"", ""Cyclooxygenase 2"", ""Cyclooxygenase 2 Inhibitors"", ""Cyclooxygenase Inhibitors"", ""Humans"", ""Indans"", ""Inhibitory Concentration 50"", ""Isoenzymes"", ""Membrane Proteins"", ""Microsomes"", ""Prostaglandin-Endoperoxide Synthases"", ""Sulfonamides"", ""U937 Cells""]","151-6","","10021918","1999-01-18",1999,"[""Comparative Study"", ""Journal Article""]",1999,"","","Substituted heterocyclic analogs as selective COX-2 inhibitors in the flosulide class.","9"
"2025-12-24T17:04:44.599151+00:00","289a602b-ea09-46ad-9205-ebbcd00f237a","incremental","None","4-Hydroxymethyl-5a-methyl-1,3,4,5,5a beta,6,7,8,9,9a alpha-decahydro-2H-benz[d]azepin-2-ones (4-12), which were designed to mimic the biologically active conformation of teleocidins and benzolactams, were synthesized and evaluated for the ability to compete with [3H]phorbol 12,13-dibutyrate in a PKC delta binding assay. Among the compounds, 10-12 showed potent binding affinity, with inhibition constants (Ki) of low nanomolar order. Computational docking simulation also indicates that the relative positions of the hydrogen-bonding sites and hydrophobic regions of the compounds are well matched to the PKC delta binding site.","","[""Endo, Y"", ""Shimazu, M"", ""Fukasawa, H"", ""Driedger, PE"", ""Kimura, K"", ""Tomioka, N"", ""Itai, A"", ""Shudo, K""]","c8f7e318492bedf7e9f42e42856d08cf44c2eb6e47080a33173581a4205ec2e0","England","10.1016/s0960-894x(98)00724-0","pubmed:10021922","","0960-894X","2","Bioorganic & medicinal chemistry letters","Bioorg Med Chem Lett","[]","eng","[""Benzazepines"", ""Binding, Competitive"", ""Computer Simulation"", ""Lactams"", ""Lyngbya Toxins"", ""Models, Molecular"", ""Phorbol 12,13-Dibutyrate"", ""Protein Kinase C""]","173-8","","10021922","1999-01-18",1999,"[""Journal Article"", ""Research Support, Non-U.S. Gov't""]",1999,"","","Synthesis, computer modeling and biological evaluation of novel protein kinase C agonists based on a 7-membered lactam moiety.","9"
"2025-12-24T17:04:44.599672+00:00","289a602b-ea09-46ad-9205-ebbcd00f237a","incremental","None","","","[""Groneberg, RD"", ""Burns, CJ"", ""Morrissette, MM"", ""Ullrich, JW"", ""Morris, RL"", ""Darnbrough, S"", ""Djuric, SW"", ""Condon, SM"", ""McGeehan, GM"", ""Labaudiniere, R"", ""Neuenschwander, K"", ""Scotese, AC"", ""Kline, JA""]","566963e4dff2c6e513f40b9b103224b95d27a95bbee25dc7cd218b7e7b19cf53","United States","10.1021/jm980567e","pubmed:10052961","","0022-2623","4","Journal of medicinal chemistry","J Med Chem","[]","eng","[""3',5'-Cyclic-AMP Phosphodiesterases"", ""Animals"", ""Cyclic Nucleotide Phosphodiesterases, Type 4"", ""Fibroblasts"", ""Gelatinases"", ""Guinea Pigs"", ""Hydroxamic Acids"", ""Macrophages"", ""Matrix Metalloproteinase 1"", ""Matrix Metalloproteinase 2"", ""Matrix Metalloproteinase Inhibitors"", ""Metalloendopeptidases"", ""Phosphodiesterase Inhibitors"", ""Protease Inhibitors"", ""Structure-Activity Relationship"", ""Sulfones""]","541-4","","10052961","1999-02-25",1999,"[""Journal Article""]",1999,"","","Dual inhibition of phosphodiesterase 4 and matrix metalloproteinases by an (arylsulfonyl)hydroxamic acid template.","42"
"2025-12-24T17:04:44.600079+00:00","289a602b-ea09-46ad-9205-ebbcd00f237a","incremental","None","Novel carbamates as derivatives of 3-(1H-imidazol-4-yl)propanol with an N-alkyl chain were prepared as histamine H3-receptor antagonists. Branching of the N-alkyl side chain with methyl groups led to chiral compounds which were synthesized stereospecifically by a Mitsunobu protocol adapted Gabriel synthesis. The optical purity of some of the chiral compounds was determined (ee > 95%) by capillary electrophoresis (CE). The investigated compounds showed pronounced to high antagonist activity (Ki values of 4.1-316 nM) in a functional test for histamine H3 receptors on rat cerebral cortex synaptosomes. Similar H3-receptor antagonist activities were observed in a peripheral model on guinea pig ileum. No stereoselective discrimination for the H3 receptor for the chiral antagonists was found with the in vitro assays. All compounds were also screened for central H3-receptor antagonist activity in vivo in mice after po administration. Most compounds were potent agents of the H3-receptor-mediated enhancement of brain Ntau-methylhistamine levels. The enantiomers of the N-2-heptylcarbamate showed a stereoselective differentiation in their pharmacological effect in vivo (ED50 of 0.39 mg/kg for the (S)-derivative vs 1.5 mg/kg for the (R)-derivative) most probably caused by differences in pharmacokinetic parameters. H1- and H2-receptor activities were determined for some of the novel carbamates, demonstrating that they have a highly selective action at the histamine H3 receptor.","","[""Sasse, A"", ""Kiec-Kononowicz, K"", ""Stark, H"", ""Motyl, M"", ""Reidemeister, S"", ""Ganellin, CR"", ""Ligneau, X"", ""Schwartz, JC"", ""Schunack, W""]","3bea91456a434863a3f0a58fb5251856cdc454ffbbc9f9c2773fe4d4c3c8a5f2","United States","10.1021/jm9804376","pubmed:10052966","","0022-2623","4","Journal of medicinal chemistry","J Med Chem","[]","eng","[""Administration, Oral"", ""Animals"", ""Carbamates"", ""Cerebral Cortex"", ""Drug Evaluation, Preclinical"", ""Electrophoresis, Capillary"", ""Guinea Pigs"", ""Heart Atria"", ""Histamine Antagonists"", ""Ileum"", ""In Vitro Techniques"", ""Mice"", ""Rats"", ""Receptors, Histamine H1"", ""Receptors, Histamine H2"", ""Receptors, Histamine H3"", ""Stereoisomerism"", ""Structure-Activity Relationship"", ""Synaptosomes""]","593-600","","10052966","1999-02-25",1999,"[""Journal Article"", ""Research Support, Non-U.S. Gov't""]",1999,"","","Development of chiral N-alkylcarbamates as new leads for potent and selective H3-receptor antagonists: synthesis, capillary electrophoresis, and in vitro and oral in vivo activity.","42"
"2025-12-24T17:04:44.600484+00:00","289a602b-ea09-46ad-9205-ebbcd00f237a","incremental","None","Molecular modeling analysis of compounds belonging to the recently published series of dihydro-alkoxy-benzyl-oxopyrimidines (DABOs), such as S-DABOs and DATNOs, gave support to the design of new 2, 6-disubstituted benzyl-DABO derivatives as highly potent and specific inhibitors of the HIV-1 reverse transcriptase (RT). To follow up on the novel DABO derivatives, we decided to investigate the effect of electron-withdrawing substituents in the benzyl unit of the S-DABO skeleton versus their anti-HIV-1 activity. Such chemical modifications impacted the inhibitory activity, especially when two halogen units were introduced at positions 2 and 6 in the phenyl portion of the benzyl group bound to C-6 of the pyrimidine ring. Various 5-alkyl-2-(alkyl(or cycloalkyl)thio)-6-(2, 6-dichloro(or 2,6-difluoro)phenylmethyl)-3, 4-dihydropyrimidin-4(3H)-ones were then synthesized and tested as anti-HIV-1 agents in both cell-based and enzyme (recombinant reverse transcriptase, rRT) assays. Among the various mono- and disubstituted phenyl derivatives, the most potent were those containing a 6-(2,6-difluorophenylmethyl) substituent (F-DABOs), which showed EC50's ranging between 40 and 90 nM and selectivity indexes up to >/=5000. An excellent correlation was found between EC50 and IC50 values which confirmed that these compounds act as inhibitors of the HIV-1 RT. The structure-activity relationships of the newly synthesized pyrimidinones are presented herein.","","[""Mai, A"", ""Artico, M"", ""Sbardella, G"", ""Massa, S"", ""Novellino, E"", ""Greco, G"", ""Loi, AG"", ""Tramontano, E"", ""Marongiu, ME"", ""La Colla, P""]","825499cdcb2fdf7e293aff0bb4fc951164157a23c0c011adea6654d69106e8d3","United States","10.1021/jm980260f","pubmed:10052969","","0022-2623","4","Journal of medicinal chemistry","J Med Chem","[]","eng","[""Animals"", ""Anti-HIV Agents"", ""Cell Line"", ""Cell Survival"", ""Drug Design"", ""HIV Reverse Transcriptase"", ""HIV-1"", ""Mice"", ""Models, Molecular"", ""Pyrimidines"", ""Recombinant Proteins"", ""Reverse Transcriptase Inhibitors"", ""Structure-Activity Relationship""]","619-27","","10052969","1999-02-25",1999,"[""Journal Article"", ""Research Support, Non-U.S. Gov't""]",1999,"","","5-Alkyl-2-(alkylthio)-6-(2,6-dihalophenylmethyl)-3, 4-dihydropyrimidin-4(3H)-ones: novel potent and selective dihydro-alkoxy-benzyl-oxopyrimidine derivatives.","42"
