column,activity_id,document_year,index,pchembl_value,potential_duplicate,record_id,src_id,standard_flag,standard_upper_value,standard_value,target_tax_id,upper_value,value
activity_id,1.0,-0.15112926437200655,0.985210298552879,0.1563844579302963,-0.08289316080948234,0.11989029331297052,,,,-0.11377048091625747,0.3052049441699806,,-0.11879988180383151
document_year,-0.15112926437200655,1.0,-0.12790587824880373,0.04279288312250678,0.41955343432240116,0.38878894988666307,,,,0.1501459569030471,-0.6008695967937048,,0.13920515856058366
index,0.985210298552879,-0.12790587824880373,1.0,0.1724305698120313,-0.06494804577500646,0.100706419783469,,,,-0.11200145655319813,0.2969323023301831,,-0.12127487578973464
pchembl_value,0.1563844579302963,0.04279288312250678,0.1724305698120313,1.0,0.13653029141213466,0.16115993890725036,,,,-0.525865044642091,0.1172478186183681,,-0.490943611426209
potential_duplicate,-0.08289316080948234,0.41955343432240116,-0.06494804577500646,0.13653029141213466,1.0,0.36989977864317963,,,,-0.057824235338632624,-0.3855671237668584,,-0.07628578146429377
record_id,0.11989029331297052,0.38878894988666307,0.100706419783469,0.16115993890725036,0.36989977864317963,1.0,,,,-0.10151988887698786,-0.30100253173242186,,-0.1014042494426582
src_id,,,,,,,,,,,,,
standard_flag,,,,,,,,,,,,,
standard_upper_value,,,,,,,,,,,,,
standard_value,-0.11377048091625747,0.1501459569030471,-0.11200145655319813,-0.525865044642091,-0.057824235338632624,-0.10151988887698786,,,,1.0,-0.1911503321432937,,0.9915375510619309
target_tax_id,0.3052049441699806,-0.6008695967937048,0.2969323023301831,0.1172478186183681,-0.3855671237668584,-0.30100253173242186,,,,-0.1911503321432937,1.0,,-0.17410849659178024
upper_value,,,,,,,,,,,,,
value,-0.11879988180383151,0.13920515856058366,-0.12127487578973464,-0.490943611426209,-0.07628578146429377,-0.1014042494426582,,,,0.9915375510619309,-0.17410849659178024,,1.0
