column,null_count,non_null_count,unique_count,dtype,coverage,coverage_ok
aidx,0,10000,1,object,1.0,True
assay_category,10000,0,0,object,0.0,False
assay_cell_type,6308,3692,297,object,0.3692,False
assay_chembl_id,0,10000,10000,object,1.0,True
assay_classifications,10000,0,0,object,0.0,False
assay_group,10000,0,0,object,0.0,False
assay_organism,0,10000,57,object,1.0,True
assay_parameters,10000,0,0,object,0.0,False
assay_strain,10000,0,0,object,0.0,False
assay_subcellular_fraction,9822,178,7,object,0.0178,False
assay_tax_id,0,10000,57,float64,1.0,True
assay_test_type,9225,775,1,object,0.0775,False
assay_tissue,9613,387,31,object,0.0387,False
assay_type,0,10000,2,object,1.0,True
assay_type_description,0,10000,2,object,1.0,True
bao_format,0,10000,10,object,1.0,True
bao_label,0,10000,10,object,1.0,True
cell_chembl_id,6657,3343,150,object,0.3343,False
confidence_description,0,10000,1,object,1.0,True
confidence_score,0,10000,1,int64,1.0,True
database_version,0,10000,1,object,1.0,True
description,0,10000,9319,object,1.0,True
document_chembl_id,0,10000,4311,object,1.0,True
extracted_at,0,10000,1,object,1.0,True
hash_business_key,0,10000,10000,object,1.0,True
hash_row,0,10000,10000,object,1.0,True
index,0,10000,10000,int64,1.0,True
relationship_description,0,10000,1,object,1.0,True
relationship_type,0,10000,1,object,1.0,True
score,10000,0,0,float64,0.0,False
src_assay_id,3268,6732,6732,object,0.6732,False
src_id,0,10000,1,float64,1.0,True
target_chembl_id,0,10000,1059,object,1.0,True
tissue_chembl_id,9613,387,31,object,0.0387,False
variant_sequence,9717,283,162,object,0.0283,False
