column,null_count,non_null_count,unique_count,dtype,coverage,coverage_ok
abstract,243,15432,15428,object,0.9844976076555024,True
authors,0,15675,15479,object,1.0,True
chembl_release,0,15675,31,object,1.0,True
contact,15675,0,0,object,0.0,False
database_version,0,15675,1,object,1.0,True
doc_type,0,15675,1,object,1.0,True
document_chembl_id,0,15675,15675,object,1.0,True
doi,0,15675,15669,object,1.0,True
doi_chembl,15675,0,0,object,0.0,False
extracted_at,0,15675,1,object,1.0,True
first_page,0,15675,7827,object,1.0,True
hash_business_key,0,15675,15675,object,1.0,True
hash_row,0,15675,15675,object,1.0,True
index,0,15675,15675,int64,1.0,True
issue,2071,13604,75,object,0.8678787878787879,True
journal,0,15675,37,object,1.0,True
journal_full_title,143,15532,31,object,0.9908771929824561,True
last_page,2,15673,7769,object,0.9998724082934609,True
patent_id,15675,0,0,object,0.0,False
pubmed_id,0,15675,15670,object,1.0,True
score,15675,0,0,float64,0.0,False
src_id,0,15675,3,float64,1.0,True
title,0,15675,15670,object,1.0,True
volume,9,15666,239,object,0.9994258373205742,True
year,0,15675,47,float64,1.0,True
