target_chembl_id,pref_name,score,organism,target_type,tax_id,species_group_flag,target_components,cross_references,uniprot_id,hash_row,hash_business_key,index,database_version,extracted_at
CHEMBL1075102,phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha,,homo sapiens,single protein,9606.0,False,,,,619f31c7bc9723eea25edd466e46aa5d4fee7eef8fc08999a3eb27c59d7e19ea,b518263c2761d867a30b8a1fa17eae9045e768df329195a09e0c0216441ae867,8,ChEMBL_36,2025-12-06T10:00:59.658261+00:00
CHEMBL1615381,menin,,homo sapiens,single protein,9606.0,False,,,,f4815e176cab650670baba3efc9984247c5e65c667834461ba9701f56c6e9b5e,226466ccfd83d056d37024b4977e6724b363056aa997b6227db44c5239c39cb5,9,ChEMBL_36,2025-12-06T10:00:59.658261+00:00
CHEMBL2343,serine/threonine-protein kinase sgk1,,homo sapiens,single protein,9606.0,False,,,,65b50d8ccafa36ee56a00f447985ddf5998183d9d9b7d05cfa948a8ceb6eef91,dc3c5a67726372752614f6056b68acc28a02f3f49307feaa1f6a8acf157786b1,2,ChEMBL_36,2025-12-06T10:00:59.658261+00:00
CHEMBL2652,"cgmp-dependent 3',5'-cyclic phosphodiesterase",,homo sapiens,single protein,9606.0,False,,,,ef52ec3f04b2047a0e2cfaedcee2ab77e50839cfd7f8f82f30d5efcdf74f6da2,faac4c260994dcb76eb10fa698c8586d8f6d1ccedc1ec9a481c48a28c30705a0,0,ChEMBL_36,2025-12-06T10:00:59.658261+00:00
CHEMBL3130,"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",,homo sapiens,single protein,9606.0,False,,,,69e5aed077ce0da937c5bad4b71cb09b4695b0692bcb115afa409df5df617405,5e9fad4afc49458697eea6025e696ccab625a6b3ea7e564c558a11f1dd2f5c00,1,ChEMBL_36,2025-12-06T10:00:59.658261+00:00
CHEMBL3788,serine/threonine-protein kinase plk4,,homo sapiens,single protein,9606.0,False,,,,e7556499a297209264e0fac32d831ff3afb03675fe89bc1110f71ce3bc190c09,1f371db179e48a59f634d3b81ad99b2668f388914b6db534e8617a958d8954f3,3,ChEMBL_36,2025-12-06T10:00:59.658261+00:00
CHEMBL4580,"thymidine kinase 2, mitochondrial",,homo sapiens,single protein,9606.0,False,,,,294fe7000db39eb1b0475d2dc42b016a3afe0f40a67184d623f7326b927c7b3c,a34ef29fc02edc6b7e0c5d959c1ed61e0173833a4ff5c573e5bc24a08bea73c6,5,ChEMBL_36,2025-12-06T10:00:59.658261+00:00
CHEMBL5255,toll-like receptor 4,,homo sapiens,single protein,9606.0,False,,,,bbec58045fc9e6dd745754f86999b2dbbd86706d719fd25327f91b03e8a0e955,9c46ba2b398e229f9fd55f3d584dcd88a5266e7e5e55c242cd061cf11a08acce,6,ChEMBL_36,2025-12-06T10:00:59.658261+00:00
CHEMBL5443,cell division cycle 7-related protein kinase,,homo sapiens,single protein,9606.0,False,,,,02d3ab4fba71e48c3128695a9e5e96f248d9b2ab95e8cd4b6b6c440ad5ff7b6a,ff66dd2b632bb93d37a2a96306cdcafed4a02a86e097bf7b9331c265f97f9120,4,ChEMBL_36,2025-12-06T10:00:59.658261+00:00
CHEMBL5476,bone morphogenetic protein receptor type-1b,,homo sapiens,single protein,9606.0,False,,,,7816188a861135e9e003081bf767b2e7eec2d17ee3346fcbbc3dacdc57ebbf47,d4a530949169e122ac935a46ce3b8633984e297ab018702ee39a1f77f9c010e9,7,ChEMBL_36,2025-12-06T10:00:59.658261+00:00
