column,null_count,non_null_count,unique_count,dtype,coverage,coverage_ok
atc_classifications,10,0,0,object,0.0,False
cross_references,10,0,0,object,0.0,False
database_version,0,10,1,object,1.0,True
extracted_at,0,10,1,object,1.0,True
hash_business_key,0,10,10,object,1.0,True
hash_row,0,10,10,object,1.0,True
helm_notation,10,0,0,object,0.0,False
index,0,10,10,int64,1.0,True
max_phase,8,2,2,float64,0.2,False
molecule_chembl_id,0,10,10,object,1.0,True
molecule_hierarchy,0,10,10,object,1.0,True
molecule_properties,0,10,10,object,1.0,True
molecule_structures,0,10,10,object,1.0,True
molecule_synonyms,8,2,2,object,0.2,False
molecule_type,0,10,1,object,1.0,True
pref_name,6,4,4,object,0.4,False
pubchem_cid,10,0,0,object,0.0,False
structure_type,0,10,1,object,1.0,True
