hash_business_key,hash_row,max_phase,molecule_chembl_id,molecule_type,pref_name
,f643c388f5e4ce69232d26f8b21b1e74e8c1b9d6784641ff7a9c802251b57b28,,CHEMBL6329,Small molecule,
,21c8102e0af12681174a81e9a9fa5affc9c883ac91d15a32ff0cf46b2cb92875,,CHEMBL6328,Small molecule,
,f14f89f2d5f70ad54880e68799f77ba9cafd9aaeed5cf86133c5017d91f08a7f,,CHEMBL265667,Small molecule,
,05458455d3492cbf7c2fd50790797af5ccb9b2682898a16010b25ae6190d911b,,CHEMBL6362,Small molecule,
,47f82567200117b3e4105454f06075180a41d0a9840be5bf56a2d58efb6aa9c6,,CHEMBL267864,Small molecule,
,9335ba651e76ee97a84a7380642b4dfef0db6d1cbc4f259a2943f4fe74954d7c,,CHEMBL6363,Small molecule,
,fb0bb96afb05496b012a060587c61bb7076fba9ec75cfcc3ec09437df3815112,,CHEMBL6352,Small molecule,
,a999e51d3165fe7166c4b56b3fb4fdf473afe6f7d9a750b0c410936b7b2151ae,,CHEMBL268097,Small molecule,
,57efb76e95ff2f6ea02964e7f064c9948053e2c5082e18ad27e0f1dc82f21833,,CHEMBL266457,Small molecule,
,2a9a014e7106b3fe6e2b2aff6d14df991b8356ca875cb57ec8659cbcb841dbfa,,CHEMBL268556,Small molecule,
