Parameter Path,composite/activity,composite/assay,composite/molecule,composite/publication,composite/target,entity/chembl/activity,entity/chembl/assay,entity/chembl/assay_parameters,entity/chembl/cell_line,entity/chembl/compound_record,entity/chembl/molecule,entity/chembl/protein_class,entity/chembl/publication,entity/chembl/publication_similarity,entity/chembl/publication_term,entity/chembl/subcellular_fraction,entity/chembl/target,entity/chembl/target_component,entity/chembl/target_protein_classification,entity/chembl/tissue,entity/crossref/publication,entity/openalex/publication,entity/pubchem/compound,entity/pubmed/publication,entity/semanticscholar/publication,entity/uniprot/idmapping,entity/uniprot/protein
composite,(dict),(dict),(dict),(dict),(dict),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
contracts,—,—,—,—,—,(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict)
entity,—,—,—,—,—,activity,assay,assay_parameters,cell_line,compound_record,molecule,protein_class,publication,publication_similarity,publication_term,subcellular_fraction,target,target_component,target_protein_classification,tissue,publication,publication,compound,publication,publication,idmapping,protein
filters,—,—,—,—,—,(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict)
hash_policy,—,—,—,—,—,(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict)
pipeline,—,—,—,—,—,(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict)
provider,—,—,—,—,—,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,crossref,openalex,pubchem,pubmed,semanticscholar,uniprot,uniprot
quality,—,—,—,—,—,(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict)
schema,—,—,—,—,—,(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict)
version,—,—,—,—,—,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,2.2.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0
composite.cross_validation,(dict),(dict),(dict),(dict),(dict),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
composite.dependencies,"[{""pipeline"": ""chembl_compound_record"", ""join_keys"": [""molecule_id"", ""publication_id""], ""filter_fields"": [""molecule_id"", ""publication_id""], ""required"": false, ""timeout_seconds"": 600, ""silver_table"": ""silver/chembl/compound_record""}]",[],[],[],"[{""pipeline"": ""chembl_target_component"", ""join_keys"": [""primary_component_id""], ""filter_field"": ""component_id"", ""required"": false, ""timeout_seconds"": 600, ""silver_table"": ""silver/chembl/target_component""}, {""pipeline"": ""chembl_protein_class"", ""join_keys"": [""protein_classification_id""], ""filter_field"": ""protein_class_id"", ""key_source"": ""chembl_target_component"", ""required"": false, ""timeout_seconds"": 300, ""silver_table"": ""silver/chembl/protein_class""}, {""pipeline"": ""chembl_target_protein_classification"", ""join_keys"": [""target_id""], ""required"": false, ""timeout_seconds"": 300, ""silver_table"": ""silver/chembl/target_protein_classification""}, {""pipeline"": ""uniprot_idmapping"", ""join_keys"": [""target_id""], ""required"": false, ""filter_condition"": ""target_id IS NOT NULL"", ""timeout_seconds"": 600, ""silver_table"": ""silver/uniprot/idmapping""}, {""pipeline"": ""uniprot_protein"", ""join_keys"": [""uniprot_accession""], ""filter_field"": ""accession"", ""key_source"": ""uniprot_idmapping"", ""key_filter"": ""mapping_status = 'found'"", ""required"": false, ""timeout_seconds"": 900, ""silver_table"": ""silver/uniprot/protein""}]",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
composite.dq_overrides,(dict),(dict),(dict),(dict),(dict),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
composite.enrichers,[],"[{""pipeline"": ""chembl_cell_line"", ""join_keys"": [""cell_id""], ""required"": false, ""filter_condition"": ""cell_id IS NOT NULL"", ""timeout_seconds"": 300, ""silver_table"": ""silver/chembl/cell_line""}, {""pipeline"": ""chembl_tissue"", ""join_keys"": [""tissue_id""], ""required"": false, ""filter_condition"": ""tissue_id IS NOT NULL"", ""timeout_seconds"": 300, ""silver_table"": ""silver/chembl/tissue""}]","[{""pipeline"": ""pubchem_compound"", ""join_keys"": [""inchi_key"", ""canonical_smiles""], ""required"": false, ""filter_condition"": ""inchi_key IS NOT NULL"", ""timeout_seconds"": 3600, ""silver_table"": ""silver/pubchem/compound""}]","[{""pipeline"": ""crossref_publication"", ""join_keys"": [""doi"", ""title""], ""required"": false, ""filter_condition"": ""doi IS NOT NULL"", ""timeout_seconds"": 3600, ""silver_table"": ""silver/crossref/publication""}, {""pipeline"": ""openalex_publication"", ""join_keys"": [""doi"", ""title""], ""required"": false, ""filter_condition"": ""doi IS NOT NULL OR pmid IS NOT NULL"", ""timeout_seconds"": 3600, ""silver_table"": ""silver/openalex/publication""}, {""pipeline"": ""pubmed_publication"", ""join_keys"": [""pmid"", ""doi""], ""required"": false, ""filter_condition"": ""pmid IS NOT NULL"", ""timeout_seconds"": 3600, ""silver_table"": ""silver/pubmed/publication""}, {""pipeline"": ""semanticscholar_publication"", ""join_keys"": [""doi"", ""title""], ""required"": false, ""filter_condition"": ""doi IS NOT NULL OR title IS NOT NULL"", ""timeout_seconds"": 7200, ""silver_table"": ""silver/semanticscholar/publication""}]",[],—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
composite.execution,(dict),(dict),(dict),(dict),(dict),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
composite.field_aliases,(dict),(dict),(dict),(dict),(dict),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
composite.lineage,(dict),(dict),(dict),(dict),(dict),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
composite.merge,(dict),(dict),(dict),(dict),(dict),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
composite.name,composite_activity,composite_assay,composite_molecule,composite_publication,composite_target,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
composite.normalized_anchor_policy,(dict),(dict),(dict),(dict),(dict),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
composite.normalized_join_key_policy,(dict),(dict),(dict),(dict),(dict),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
composite.seed,(dict),(dict),(dict),(dict),(dict),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
composite.version,1.0.0,1.0.0,1.0.0,1.1.0,1.3.0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
contracts.hash_datetime_policy,—,—,—,—,—,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v1_date,v2_datetime_utc
contracts.hash_exclude,—,—,—,—,—,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
contracts.hash_include,—,—,—,—,—,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
contracts.merge_keys,—,—,—,—,—,"[""activity_id""]","[""assay_id""]","[""assay_param_id""]","[""cell_id""]","[""record_id""]","[""molecule_id""]","[""protein_class_id""]","[""publication_id""]","[""sim_id""]","[""publication_id"", ""term_type"", ""term""]","[""subcellular_fraction""]","[""target_id""]","[""component_id""]","[""entity_id""]","[""tissue_id""]","[""doi""]","[""openalex_id""]","[""molecule_id""]","[""pmid""]","[""paper_id""]","[""target_id""]","[""accession""]"
contracts.primary_key,—,—,—,—,—,"[""activity_id""]","[""assay_id""]","[""assay_param_id""]","[""cell_id""]","[""record_id""]","[""molecule_id""]","[""protein_class_id""]","[""publication_id""]","[""sim_id""]","[""publication_id"", ""term_type"", ""term""]","[""subcellular_fraction""]","[""target_id""]","[""component_id""]","[""entity_id""]","[""tissue_id""]","[""doi""]","[""openalex_id""]","[""molecule_id""]","[""pmid""]","[""paper_id""]","[""target_id""]","[""accession""]"
filters.entity,—,—,—,—,—,activity,assay,assay_parameters,cell_line,compound_record,molecule,protein_class,publication,publication_similarity,publication_term,subcellular_fraction,target,target_component,target_protein_classification,tissue,publication,publication,compound,publication,publication,idmapping,protein
filters.extraction_params,—,—,—,—,—,(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict)
filters.gold_filters,—,—,—,—,—,(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict)
filters.input_filter,—,—,—,—,—,(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict)
filters.metadata,—,—,—,—,—,(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict)
filters.provider,—,—,—,—,—,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,crossref,openalex,pubchem,pubmed,semanticscholar,uniprot,uniprot
filters.silver_filters,—,—,—,—,—,(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict)
filters.source_profile,—,—,—,—,—,(dict),(dict),—,—,—,(dict),—,(dict),—,(dict),—,(dict),—,—,—,—,—,—,—,—,—,—
filters.version,—,—,—,—,—,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,2.2.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0
hash_policy.contract,—,—,—,—,—,(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict)
hash_policy.entity,—,—,—,—,—,activity,assay,assay_parameters,cell_line,compound_record,molecule,protein_class,publication,publication_similarity,publication_term,subcellular_fraction,target,target_component,target_protein_classification,tissue,publication,publication,compound,publication,publication,idmapping,protein
hash_policy.hash_policy,—,—,—,—,—,(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict),(dict)
hash_policy.provider,—,—,—,—,—,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,chembl,crossref,openalex,pubchem,pubmed,semanticscholar,uniprot,uniprot
pipeline.batch_size,—,—,—,—,—,1000,1000,1000,1000,1000,1000,500,1000,1000,1000,1000,1000,1000,500,1000,1000,1000,1000,1000,1000,1000,1000
