field_name,api_path,type,nullable,normalization,validation,dq_level,failure_action,in_hash,description
cell_id,cell_chembl_id,str,false,validate_regex,regex ^CHEMBL\d+$ unique,CRITICAL,quarantine,true,Canonical ChEMBL ID for cell line (PK; legacy API field `cell_chembl_id`)
cell_name,cell_name,str,false,strip,not_empty,CRITICAL,quarantine,true,Cell line name
cell_description,cell_description,str,true,strip,none,INFO,log,true,Cell line description
cell_source_tissue,cell_source_tissue,str,true,strip,none,INFO,log,true,Source tissue
cell_source_organism,cell_source_organism,str,true,strip,none,INFO,log,true,Source organism
cell_source_taxonomy_id,cell_source_taxonomy_id,int,true,cast_to_int,>= 1,WARNING,log,true,NCBI Taxonomy ID
cell_type,cell_type,str,true,strip,none,INFO,log,true,Cell type classification
cellosaurus_id,cellosaurus_id,str,true,validate_regex,regex ^CVCL_[A-Z0-9]+$,WARNING,log,true,Cellosaurus ID
clo_id,clo_id,str,true,validate_regex,regex ^CLO_\d+$,WARNING,log,true,Cell Line Ontology ID
cl_lincs_id,cl_lincs_id,str,true,strip,none,INFO,log,true,LINCS ID
efo_id,efo_id,str,true,validate_regex,regex ^EFO_\d+$,WARNING,log,true,EFO ontology ID
entity_id,derived,str,false,from cell_id,regex ^CHEMBL\d+$,CRITICAL,quarantine,false,Unique business identifier
content_hash,derived,str,false,sha256,regex ^[a-f0-9]{64}$,CRITICAL,quarantine,false,SHA256 hash
_run_id,system,uuid,false,generated,uuid format,CRITICAL,quarantine,false,Pipeline run ID
_run_type,system,str,false,from config,isin [incremental backfill rebuild],CRITICAL,quarantine,false,Run type
_source_batch_id,system,uuid,true,generated,uuid format,INFO,log,false,Batch context ID
_ingestion_ts,system,datetime,false,generated utc,valid timestamp,CRITICAL,quarantine,false,Ingestion timestamp
_dq_warn,system,bool,false,from validation,boolean,INFO,log,false,DQ warning flag
_dq_error,system,bool,false,from validation,boolean,INFO,log,false,DQ error flag
_index,system,int,false,generated,>= 0,INFO,log,false,Record index
