order,ID,Full,DB,category,field
1,20,crossref.publication.alternative_id,crossref,id,alternative_id
2,13,chembl.publication.chembl_release,chembl,id,chembl_release
3,14,chembl.publication.content_hash,chembl,id,content_hash
4,21,crossref.publication.content_hash,crossref,id,content_hash
5,23,openalex.publication.content_hash,openalex,id,content_hash
6,28,pubmed.publication.content_hash,pubmed,id,content_hash
7,33,semanticscholar.publication.content_hash,semanticscholar,id,content_hash
8,34,semanticscholar.publication.corpus_id,semanticscholar,id,corpus_id
9,35,semanticscholar.publication.dblp_id,semanticscholar,id,dblp_id
10,15,chembl.publication.publication_id,chembl,id,publication_id
11,17,chembl.publication.entity_id,chembl,id,entity_id
12,22,crossref.publication.entity_id,crossref,id,entity_id
13,24,openalex.publication.entity_id,openalex,id,entity_id
14,30,pubmed.publication.entity_id,pubmed,id,entity_id
15,36,semanticscholar.publication.entity_id,semanticscholar,id,entity_id
16,25,openalex.publication.mag_id,openalex,id,mag_id
17,31,pubmed.publication.nlm_unique_id,pubmed,id,nlm_unique_id
18,26,openalex.publication.openalex_id,openalex,id,openalex_id
19,37,semanticscholar.publication.paper_id,semanticscholar,id,paper_id
20,32,pubmed.publication.pmc_id,pubmed,id,pmc_id
21,18,chembl.publication.pmid,chembl,id,pmid
22,27,openalex.publication.pmid,openalex,id,pmid
23,38,semanticscholar.publication.pmid,semanticscholar,id,pmid
24,19,chembl.publication.src_id,chembl,id,src_id
25,39,chembl.publication.abstract,chembl,bibliography,abstract
26,42,openalex.publication.abstract,openalex,bibliography,abstract
27,44,pubmed.publication.abstract,pubmed,bibliography,abstract
28,47,semanticscholar.publication.abstract,semanticscholar,bibliography,abstract
29,45,pubmed.publication.abstract_structured,pubmed,bibliography,abstract_structured
30,16,chembl.publication.doi,chembl,bibliography,doi
31,29,pubmed.publication.doi,pubmed,bibliography,doi
32,70,crossref.publication.issn,crossref,bibliography,issn
33,76,openalex.publication.issn,openalex,bibliography,issn
34,79,pubmed.publication.issn,pubmed,bibliography,issn
35,71,crossref.publication.issn_electronic,crossref,bibliography,issn_electronic
36,179,crossref.publication.issn_list,crossref,bibliography,issn_list
37,72,crossref.publication.issn_print,crossref,bibliography,issn_print
38,102,chembl.publication.issue,chembl,bibliography,issue
39,106,crossref.publication.issue,crossref,bibliography,issue
40,110,openalex.publication.issue,openalex,bibliography,issue
41,114,pubmed.publication.issue,pubmed,bibliography,issue
42,120,semanticscholar.publication.issue,semanticscholar,bibliography,issue
43,69,chembl.publication.journal,chembl,bibliography,journal
44,73,crossref.publication.journal,crossref,bibliography,journal
45,77,openalex.publication.journal,openalex,bibliography,journal
46,80,pubmed.publication.journal,pubmed,bibliography,journal
47,84,semanticscholar.publication.journal,semanticscholar,bibliography,journal
48,81,pubmed.publication.journal_iso_abbrev,pubmed,bibliography,journal_iso_abbrev
49,82,pubmed.publication.journal_issn_type,pubmed,bibliography,journal_issn_type
50,74,crossref.publication.journal_name_short,crossref,bibliography,journal_name_short
51,83,pubmed.publication.journal_name_short,pubmed,bibliography,journal_name_short
52,103,chembl.publication.page_first,chembl,bibliography,page_first
53,107,crossref.publication.page_first,crossref,bibliography,page_first
54,111,openalex.publication.page_first,openalex,bibliography,page_first
55,116,pubmed.publication.page_first,pubmed,bibliography,page_first
