workflow,triggers,top_permissions,write_permissions,runners,privileged_trigger,untrusted_checkout,parse_complete,verdict
.github/workflows/architecture-docs-nightly.yml,schedule;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/architecture.yml,schedule;workflow_dispatch,contents: read,,ubuntu-latest;windows-latest,false,false,true,PASS
.github/workflows/branch-hygiene.yml,pull_request;schedule;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/chembl-baseline-smoke.yml,push;pull_request;workflow_dispatch,contents: read,,ubuntu-24.04,false,false,true,PASS
.github/workflows/codeql.yml,push;pull_request;schedule,contents: read,security-events: write,ubuntu-latest,false,false,true,PASS
.github/workflows/coderabbit.yml,push;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/commit-lint.yml,pull_request,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/compiled-artifacts-block.yml,pull_request;push,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/consolidation-gates.yml,pull_request;push;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/contract-governance-fast-check.yml,push;pull_request,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/contract-tests.yml,schedule;workflow_dispatch,contents: read,issues: write,ubuntu-latest,false,false,true,PASS
.github/workflows/dashboard-first-window-noscroll.yml,push;pull_request,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/dashboard-render-host.yml,workflow_dispatch,contents: read,,"[self-hosted, bioetl-observability]",false,false,true,PASS
.github/workflows/dependency-review.yml,pull_request,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/diagram-nightly.yml,schedule;workflow_dispatch,contents: read,issues: write,ubuntu-latest,false,false,true,PASS
.github/workflows/docker.yml,workflow_dispatch;push;pull_request,absent,security-events: write;packages: write,ubuntu-latest,false,false,true,PASS
.github/workflows/docs-kpi-weekly.yml,schedule;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/docs.yml,push;pull_request,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/duplication-complexity.yml,push;pull_request,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/e2e-matrix-health.yml,push;pull_request;schedule;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/github-settings-quarterly-review.yml,schedule;workflow_dispatch,actions: read;contents: read;deployments: read;security-events: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/import-linter.yml,push;pull_request;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/labeler.yml,pull_request_target,contents: read;pull-requests: write,pull-requests: write,ubuntu-latest,true,false,true,PASS
.github/workflows/memory-freshness.yml,pull_request;schedule;workflow_dispatch,contents: read,issues: write,ubuntu-latest,false,false,true,PASS
.github/workflows/memory-retention.yml,schedule;workflow_dispatch;pull_request,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/mutation-testing.yml,push;pull_request;schedule;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/nightly-replay-parity.yml,schedule;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/performance-nightly.yml,schedule;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/port-contracts.yml,push;pull_request;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/pr-hygiene.yml,schedule;workflow_dispatch,contents: read;issues: write;pull-requests: write,issues: write;pull-requests: write,ubuntu-latest,false,false,true,PASS
.github/workflows/provider-contract-drift.yml,pull_request;push;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/quality-debt-weekly.yml,schedule;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/release.yml,release;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/reusable-mermaid-setup.yml,workflow_call,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/reusable-setup.yml,workflow_call,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/root-hygiene.yml,pull_request;push;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/schema-governance.yml,push;pull_request,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/scorecard.yml,schedule;workflow_dispatch;push,contents: read,security-events: write;id-token: write,ubuntu-latest,false,false,true,PASS
.github/workflows/security.yml,workflow_call;push;pull_request,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/semantic-governance.yml,push;pull_request,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/skills-consistency.yml,workflow_dispatch;push;pull_request,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/stale.yml,schedule,contents: read;issues: write;pull-requests: write,issues: write;pull-requests: write,ubuntu-latest,false,false,true,PASS
.github/workflows/tests.yml,push;pull_request,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/type-checking.yml,push;pull_request;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/vacuum.yml,schedule;workflow_dispatch,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/validate-vendored-mermaid-assets.yml,pull_request;push,contents: read,,ubuntu-latest,false,false,true,PASS
.github/workflows/zizmor.yml,push;pull_request,contents: read,security-events: write,ubuntu-latest,false,false,true,PASS
