path,line,reference,type,pin,status
".github/actions/architecture-governance-cache/action.yml","65","actions/cache/restore@27d5ce7f107fe9357f9df03efb73ab90386fccae","external","27d5ce7f107fe9357f9df03efb73ab90386fccae","PASS"
".github/actions/architecture-governance-cache/action.yml","74","actions/cache/save@27d5ce7f107fe9357f9df03efb73ab90386fccae","external","27d5ce7f107fe9357f9df03efb73ab90386fccae","PASS"
".github/actions/setup-mermaid/action.yml","21","actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e","external","48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e","PASS"
".github/actions/setup-python-uv/action.yml","38","actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405","external","a309ff8b426b58ec0e2a45f0f869d46889d02405","PASS"
".github/actions/setup-python-uv/action.yml","44","astral-sh/setup-uv@37802adc94f370d6bfd71619e3f0bf239e1f3b78","external","37802adc94f370d6bfd71619e3f0bf239e1f3b78","PASS"
".github/actions/setup-python-uv/action.yml","68","actions/cache@27d5ce7f107fe9357f9df03efb73ab90386fccae","external","27d5ce7f107fe9357f9df03efb73ab90386fccae","PASS"
".github/actions/setup-python-uv/action.yml","118","actions/cache@27d5ce7f107fe9357f9df03efb73ab90386fccae","external","27d5ce7f107fe9357f9df03efb73ab90386fccae","PASS"
".github/workflows/architecture-docs-nightly.yml","21","actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1","external","3d3c42e5aac5ba805825da76410c181273ba90b1","PASS"
".github/workflows/architecture-docs-nightly.yml","24","./.github/actions/setup-python-uv","local","repository-owned","PASS"
".github/workflows/architecture-docs-nightly.yml","65","actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a","external","043fb46d1a93c77aae656e7c1c64a875d1fc6a0a","PASS"
".github/workflows/architecture.yml","35","actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1","external","3d3c42e5aac5ba805825da76410c181273ba90b1","PASS"
".github/workflows/architecture.yml","38","./.github/actions/setup-python-uv","local","repository-owned","PASS"
