category,severity,file,line,source_layer,target,message,rule
di_violation,HIGH,src/bioetl/application/composite/merger.py,88,application,self._deduplicator = EnricherDeduplicator(logger),Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/application/composite/merger.py,89,application,self._aggregator = EnricherAggregator(logger),Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/application/composite/merger.py,90,application,self._renamer = ColumnRenamer(logger),Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/application/composite/merger.py,92,application,self._orderer = ColumnOrderer(,Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/application/composite/runner.py,192,application,self._fsm = FSMStateHelper(,Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/application/core/base.py,103,application,self._shutdown_signal = ShutdownSignal(),Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/application/core/batch_executor.py,151,application,self._batch_metrics = BatchMetricsRecorder(,Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/application/core/batch_executor.py,155,application,self._transformer = BatchTransformer(,Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/application/core/batch_executor.py,169,application,self._writer = BatchWriter(,Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/application/core/batch_executor.py,181,application,self._tracing = BatchTracingManager(,Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/application/core/lock_manager.py,220,application,self._heartbeat = HeartbeatTask(,Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/application/core/record_processor.py,72,application,self._batch_metrics = BatchMetricsRecorder(,Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/application/core/record_processor.py,76,application,self._transformer = BatchTransformer(,Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/application/core/record_processor.py,90,application,self._writer = BatchWriter(,Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/application/pipelines/pubmed/extractors/date.py,195,application,self._medline_parser = MedlineDateParser(),Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/domain/aggregates/quarantine_entry.py,368,domain,self._resolution_info = ResolutionInfo(,Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/domain/aggregates/quarantine_entry.py,414,domain,self._resolution_info = ResolutionInfo(,Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
di_violation,HIGH,src/bioetl/domain/aggregates/quarantine_entry.py,454,domain,self._resolution_info = ResolutionInfo(,Possible hard-coded dependency instantiation in class,"Dependencies should be injected, not instantiated in application/domain"
naming,LOW,src/tools/scripts/duplicate_function_analyzer.py,172,scripts,visit_Call,Function/method name is not snake_case,Naming policy: functions must be snake_case
di_violation,MEDIUM,src/bioetl/application/composite/checkpoint.py,263,application,seed_result = SeedResult(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/composite/checkpoint.py,277,application,"status=DependencyStatus(dr_data[""status""]),",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/composite/checkpoint.py,289,application,"status=EnrichmentStatus(er_data[""status""]),",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/composite/checkpoint.py,316,application,state = CompositePipelineState(state_value),Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/composite/column_renamer.py,145,application,"qualifier = ColumnQualifier(provider, entity, col)",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/composite/preflight_validator.py,192,application,result = PreflightValidationResult(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/composite/runner.py,1058,application,context = DQReportContext(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/core/base_transformer.py,813,application,"entity_id=EntityID(entity_id),",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/core/base_transformer.py,814,application,"content_hash=ContentHash(content_hash),",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/core/batch_executor.py,159,application,quarantine_manager=QuarantineManager(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/core/batch_executor.py,363,application,source_metadata = SourceMetadata(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/core/batch_executor.py,379,application,batch_id = BatchID(uuid4()),Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/core/cleanup_service.py,175,application,result = CleanupResult(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
naming,MEDIUM,src/bioetl/application/core/preflight_service.py,45,application,_HealthAggregator,Class name is not PascalCase,Naming policy: classes must be PascalCase
di_violation,MEDIUM,src/bioetl/application/core/preflight_service.py,114,application,report = HealthReport(results=component_results),Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/core/preflight_service.py,126,application,result = ComponentHealthResult(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/core/preflight_service.py,133,application,result = ComponentHealthResult(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/core/preflight_service.py,167,application,result = ComponentHealthResult(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/core/preflight_service.py,176,application,result = ComponentHealthResult(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/core/preflight_service.py,183,application,result = ComponentHealthResult(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
naming,MEDIUM,src/bioetl/application/core/preflight_service.py,279,application,_MedallionConfigValidator,Class name is not PascalCase,Naming policy: classes must be PascalCase
di_violation,MEDIUM,src/bioetl/application/core/preflight_service.py,350,application,write_mode_policy = WriteModePolicy(),Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/core/preflight_service.py,771,application,report = PreflightReport(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/core/record_processor.py,80,application,quarantine_manager=QuarantineManager(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/pipelines/chembl/__init__.py,14,application,"transformer = ActivityTransformer(provider=""chembl"")",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/pipelines/generic.py,11,application,factory = GenericPipelineFactory(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/pipelines/pubmed/transformer.py,354,application,raw_author_data = AuthorExtractor().extract(article) or [],Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/pipelines/pubmed/transformer.py,617,application,raw_date = DateExtractor().extract(pub_date_node),Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/bronze_cleanup_service.py,96,application,cleanup_result = CleanupResult(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/config_service.py,234,application,info = SettingsInfo(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/config_service.py,326,application,info = PipelineInfo(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/dq_report_service.py,219,application,result = DQReportResult(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/dq_report_service.py,348,application,output_path = Path(context.bronze_output_path),Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/dq_report_service.py,350,application,output_path = Path(config.output_path),Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/dq_report_service.py,429,application,output_path = Path(context.silver_output_path),Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/dq_report_service.py,431,application,output_path = Path(config.output_path),Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/dq_report_service.py,505,application,output_path = Path(context.gold_output_path),Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/dq_report_service.py,507,application,output_path = Path(config.output_path),Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/health_service.py,165,application,summary = HealthCheckSummary(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/medallion_lifecycle.py,92,application,result = ClearResult(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/pipeline_runner_service.py,364,application,vacuum = VacuumConfig(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/pipeline_runner_service.py,381,application,"run_type=RunType(options.run_type),",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/shutdown_service.py,55,application,"shutdown_service = ShutdownService(logger=logger, metrics=metrics)",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/application/services/vacuum_service.py,211,application,vacuum_result = VacuumAllResult(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/aggregates/batch.py,186,domain,batch_id = BatchID(uuid4()),Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/aggregates/batch.py,301,domain,record = BatchRecord(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/aggregates/quarantine_entry.py,227,domain,payload_hash = ContentHash(hash_value),Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/configs/__init__.py,15,domain,config = BaseProviderConfig(,Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/configs/__init__.py,18,domain,"rate_limit=RateLimitConfig(requests_per_second=5.0, burst=10),",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/entities/bioactivity.py,213,domain,entity_id = EntityID(str(activity_id)),Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/entities/bioactivity.py,220,domain,"content_hash=ContentHash(content_hash_str),",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/entities/bioactivity.py,221,domain,"run_id=RunID(run_id) if isinstance(run_id, UUID) else run_id,",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/entities/bioactivity.py,225,domain,"source_batch_id=BatchID(source_batch_id) if source_batch_id else None,",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/entities/chembl.py,35,domain,"model_config = ConfigDict(frozen=True, extra=""forbid"")",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/entities/chembl.py,188,domain,"model_config = ConfigDict(frozen=True, extra=""forbid"")",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/entities/chembl.py,295,domain,"model_config = ConfigDict(frozen=True, extra=""forbid"")",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/entities/chembl.py,445,domain,"model_config = ConfigDict(frozen=True, extra=""forbid"")",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/entities/chembl.py,516,domain,"model_config = ConfigDict(frozen=True, extra=""forbid"")",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
di_violation,MEDIUM,src/bioetl/domain/entities/chembl.py,568,domain,"model_config = ConfigDict(frozen=True, extra=""forbid"")",Possible method-level concrete instantiation,Avoid method-level concrete construction in business layers
