entity_type,name,qualname,scope,layer,module,declaration,line_start,line_end,loc,src_refs_external,test_refs,docs_refs,classification,tests_files_count,tests_files,docs_files_count,docs_files,exempt,exempt_reason,chembl_activity,chembl_assay,chembl_assay_parameters,chembl_cell_line,chembl_compound_record,chembl_molecule,chembl_protein_class,chembl_publication,chembl_publication_similarity,chembl_publication_term,chembl_subcellular_fraction,chembl_target,chembl_target_component,chembl_tissue,crossref_publication,openalex_publication,pubchem_compound,pubmed_publication,semanticscholar_publication,uniprot_idmapping,uniprot_protein
method,next_index,bioetl.domain.aggregates.batch.Batch.next_index,class,domain,bioetl.domain.aggregates.batch,src/bioetl/domain/aggregates/batch.py:257,257,259,3,0,0,2,DEAD,0,,1,docs/99-archive/reports/domain_merged.md,False,,2,0,2,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,2,0
function,_validate_stage_name,bioetl.domain.aggregates.pipeline_run._validate_stage_name,module,domain,bioetl.domain.aggregates.pipeline_run,src/bioetl/domain/aggregates/pipeline_run.py:49,49,52,4,0,0,2,DEAD,0,,1,docs/99-archive/reports/domain_merged.md,False,,2,0,2,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,2,0
function,_validate_stage_completion,bioetl.domain.aggregates.pipeline_run._validate_stage_completion,module,domain,bioetl.domain.aggregates.pipeline_run,src/bioetl/domain/aggregates/pipeline_run.py:55,55,66,12,0,0,2,DEAD,0,,1,docs/99-archive/reports/domain_merged.md,False,,2,0,2,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,2,0
variable,needs_timestamp,bioetl.domain.aggregates.pipeline_run._validate_stage_completion.needs_timestamp,function,domain,bioetl.domain.aggregates.pipeline_run,src/bioetl/domain/aggregates/pipeline_run.py:61,61,61,1,0,0,2,DEAD,0,,1,docs/99-archive/reports/domain_merged.md,False,,2,0,2,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,2,0
function,_validate_stage_result,bioetl.domain.aggregates.pipeline_run._validate_stage_result,module,domain,bioetl.domain.aggregates.pipeline_run,src/bioetl/domain/aggregates/pipeline_run.py:69,69,80,12,0,0,2,DEAD,0,,1,docs/99-archive/reports/domain_merged.md,False,,2,0,2,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,2,0
method,with_success,bioetl.domain.aggregates.pipeline_run.StageResult.with_success,class,domain,bioetl.domain.aggregates.pipeline_run,src/bioetl/domain/aggregates/pipeline_run.py:124,124,147,24,0,0,1,DEAD,0,,1,docs/99-archive/reports/domain_merged.md,False,,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
method,with_failure,bioetl.domain.aggregates.pipeline_run.StageResult.with_failure,class,domain,bioetl.domain.aggregates.pipeline_run,src/bioetl/domain/aggregates/pipeline_run.py:149,149,173,25,0,0,1,DEAD,0,,1,docs/99-archive/reports/domain_merged.md,False,,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
method,successful_stages,bioetl.domain.aggregates.pipeline_run.PipelineRun.successful_stages,class,domain,bioetl.domain.aggregates.pipeline_run,src/bioetl/domain/aggregates/pipeline_run.py:295,295,297,3,0,0,1,DEAD,0,,1,docs/99-archive/reports/domain_merged.md,False,,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
method,record_stage_start,bioetl.domain.aggregates.pipeline_run.PipelineRun.record_stage_start,class,domain,bioetl.domain.aggregates.pipeline_run,src/bioetl/domain/aggregates/pipeline_run.py:319,319,338,20,0,0,10,DEAD,0,,3,docs/02-architecture/decisions/ADR-021-ddd-aggregates-adoption.md;docs/99-archive/reports/documentation_merged.md;docs/99-archive/reports/domain_merged.md,False,,6,4,6,4,6,4,4,6,4,6,0,4,4,0,6,4,4,4,4,6,4
method,_assert_can_complete,bioetl.domain.aggregates.pipeline_run.PipelineRun._assert_can_complete,class,domain,bioetl.domain.aggregates.pipeline_run,src/bioetl/domain/aggregates/pipeline_run.py:428,428,442,15,0,0,4,DEAD,0,,2,docs/99-archive/reports/documentation_merged.md;docs/99-archive/reports/domain_merged.md,False,,4,2,4,2,4,2,2,4,2,4,0,2,2,0,4,2,2,2,2,4,2
variable,failed_names,bioetl.domain.aggregates.pipeline_run.PipelineRun._assert_can_complete.failed_names,method,domain,bioetl.domain.aggregates.pipeline_run,src/bioetl/domain/aggregates/pipeline_run.py:431,431,431,1,0,0,2,DEAD,0,,1,docs/99-archive/reports/domain_merged.md,False,,2,0,2,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,2,0
parameter,failed_at,bioetl.domain.aggregates.pipeline_run.PipelineRun.failed_at,method,domain,bioetl.domain.aggregates.pipeline_run,src/bioetl/domain/aggregates/pipeline_run.py:485,485,485,1,0,0,3,DEAD,0,,1,docs/99-archive/reports/domain_merged.md,False,,3,0,3,0,3,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,0
parameter,shutdown_at,bioetl.domain.aggregates.pipeline_run.PipelineRun.shutdown_at,method,domain,bioetl.domain.aggregates.pipeline_run,src/bioetl/domain/aggregates/pipeline_run.py:518,518,518,1,0,0,3,DEAD,0,,1,docs/99-archive/reports/domain_merged.md,False,,3,0,3,0,3,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,0
method,_assert_running,bioetl.domain.aggregates.pipeline_run.PipelineRun._assert_running,class,domain,bioetl.domain.aggregates.pipeline_run,src/bioetl/domain/aggregates/pipeline_run.py:556,556,567,12,0,0,9,DEAD,0,,2,docs/99-archive/reports/documentation_merged.md;docs/99-archive/reports/domain_merged.md,False,,9,2,9,2,9,2,2,9,2,9,0,2,2,0,9,2,2,2,2,9,2
function,_validate_quarantine_required_fields,bioetl.domain.aggregates.quarantine_entry._validate_quarantine_required_fields,module,domain,bioetl.domain.aggregates.quarantine_entry,src/bioetl/domain/aggregates/quarantine_entry.py:89,89,106,18,0,0,2,DEAD,0,,1,docs/99-archive/reports/domain_merged.md,False,,4,0,2,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,2,0
