hash,count,loc,entities
227d775e2251a2207287091a1ef21ed6f0c04a5ab5a17ee437756ab8c761da4b,187,3,bioetl.application.core.base_transformer.ValueObjectWithFromRaw.from_raw@src/bioetl/application/core/base_transformer.py:55;bioetl.application.core.base_transformer.ValueObjectWithFromRaw.value@src/bioetl/application/core/base_transformer.py:60;bioetl.application.core.base_transformer.BaseTransformer._transform_impl@src/bioetl/application/core/base_transformer.py:386;bioetl.application.core.protocols.TransformCallback.__call__@src/bioetl/application/core/protocols.py:21;bioetl.application.core.protocols.GoldFilterCallback.__call__@src/bioetl/application/core/protocols.py:31;bioetl.application.core.protocols.GoldTransformCallback.__call__@src/bioetl/application/core/protocols.py:42;bioetl.application.core.protocols.TransformerPort.transform@src/bioetl/application/core/protocols.py:67;bioetl.application.pipelines.chembl.base_chembl_transformer.BaseChemblTransformer._extract_business_data@src/bioetl/application/pipelines/chembl/base_chembl_transformer.py:160;bioetl.application.pipelines.common.base_publication_transformer.BasePublicationTransformer._extract_business_data@src/bioetl/application/pipelines/common/base_publication_transformer.py:54;bioetl.application.pipelines.common.base_publication_transformer.BasePublicationTransformer._get_primary_id_field@src/bioetl/application/pipelines/common/base_publication_transformer.py:69;bioetl.application.pipelines.common.base_publication_transformer.BasePublicationTransformer._get_entity_class@src/bioetl/application/pipelines/common/base_publication_transformer.py:84;bioetl.application.pipelines.pubmed.extractors.base.BaseFieldExtractor.extract@src/bioetl/application/pipelines/pubmed/extractors/base.py:30;bioetl.application.pipelines.pubmed.extractors.base.BaseFieldExtractor.normalize@src/bioetl/application/pipelines/pubmed/extractors/base.py:42;bioetl.application.services.config_service.SettingsProtocol.bronze_path@src/bioetl/application/services/config_service.py:42;bioetl.application.services.config_service.SettingsProtocol.silver_path@src/bioetl/application/services/config_service.py:47;bioetl.application.services.config_service.SettingsProtocol.gold_path@src/bioetl/application/services/config_service.py:52;bioetl.application.services.config_service.SettingsProtocol.checkpoint_path@src/bioetl/application/services/config_service.py:57;bioetl.application.services.config_service.SettingsProtocol.quarantine_path@src/bioetl/application/services/config_service.py:62;bioetl.application.services.config_service.SettingsProtocol.model_dump@src/bioetl/application/services/config_service.py:66;bioetl.application.services.config_service.PipelineYamlConfigProtocol.model_dump@src/bioetl/application/services/config_service.py:80;bioetl.application.services.config_service.PipelineRegistryProtocol.list_pipelines@src/bioetl/application/services/config_service.py:89;bioetl.application.services.config_service.SettingsLoaderProtocol.__call__@src/bioetl/application/services/config_service.py:97;bioetl.application.services.config_service.PipelineConfigLoaderProtocol.__call__@src/bioetl/application/services/config_service.py:105;bioetl.application.services.config_service.DomainConfigMapperProtocol.__call__@src/bioetl/application/services/config_service.py:113;bioetl.application.services.config_service.RegistryAccessorProtocol.__call__@src/bioetl/application/services/config_service.py:121;bioetl.application.services.health_service.DataSourceFactoryPort.list_providers@src/bioetl/application/services/health_service.py:29;bioetl.application.services.health_service.DataSourceFactoryPort.create@src/bioetl/application/services/health_service.py:34;bioetl.application.services.metrics_service.MetricsServerPort.start@src/bioetl/application/services/metrics_service.py:41;bioetl.application.services.metrics_service.MetricsServerPort.is_running@src/bioetl/application/services/metrics_service.py:62;bioetl.application.services.metrics_service.MetricsServerPort.reset@src/bioetl/application/services/metrics_service.py:66;bioetl.composition.providers.provider_registry.DataSourceCreator.__call__@src/bioetl/composition/providers/provider_registry.py:51;bioetl.composition.registry.PipelineFactoryProtocol.create_with_services@src/bioetl/composition/registry.py:41;bioetl.composition.registry.PipelineFactoryProtocol.create_runner@src/bioetl/composition/registry.py:57;bioetl.domain.ports.audit.AuditPort.log_write@src/bioetl/domain/ports/audit.py:107;bioetl.domain.ports.audit.AuditPort.get_entries@src/bioetl/domain/ports/audit.py:118;bioetl.domain.ports.audit.AuditPort.aclose@src/bioetl/domain/ports/audit.py:142;bioetl.domain.ports.checkpoint.CheckpointPort.save@src/bioetl/domain/ports/checkpoint.py:22;bioetl.domain.ports.checkpoint.CheckpointPort.load@src/bioetl/domain/ports/checkpoint.py:37;bioetl.domain.ports.checkpoint.CheckpointPort.list_all@src/bioetl/domain/ports/checkpoint.py:52;bioetl.domain.ports.checkpoint.CheckpointPort.delete@src/bioetl/domain/ports/checkpoint.py:60;bioetl.domain.ports.checkpoint.CheckpointPort.aclose@src/bioetl/domain/ports/checkpoint.py:68;bioetl.domain.ports.data_normalization.DataNormalizationPort.normalize_doi@src/bioetl/domain/ports/data_normalization.py:39;bioetl.domain.ports.data_normalization.DataNormalizationPort.normalize_pmid@src/bioetl/domain/ports/data_normalization.py:46;bioetl.domain.ports.data_normalization.DataNormalizationPort.normalize_year@src/bioetl/domain/ports/data_normalization.py:50;bioetl.domain.ports.data_normalization.DataNormalizationPort.normalize_authors@src/bioetl/domain/ports/data_normalization.py:57;bioetl.domain.ports.data_normalization.DataNormalizationPort.strip_html_tags@src/bioetl/domain/ports/data_normalization.py:65;bioetl.domain.ports.data_normalization.DataNormalizationPort.normalize_oa_status@src/bioetl/domain/ports/data_normalization.py:69;bioetl.domain.ports.data_normalization.DataNormalizationPort.normalize_string@src/bioetl/domain/ports/data_normalization.py:73;bioetl.domain.ports.data_normalization.DataNormalizationPort.normalize_to_string@src/bioetl/domain/ports/data_normalization.py:77;bioetl.domain.ports.data_normalization.DataNormalizationPort.parse_authors_to_list@src/bioetl/domain/ports/data_normalization.py:81;bioetl.domain.ports.data_normalization.DataNormalizationPort.normalize_partial_date@src/bioetl/domain/ports/data_normalization.py:88;bioetl.domain.ports.data_normalization.DataNormalizationPort.format_date_parts@src/bioetl/domain/ports/data_normalization.py:95;bioetl.domain.ports.data_source.DataSourcePort.provider_name@src/bioetl/domain/ports/data_source.py:26;bioetl.domain.ports.data_source.DataSourcePort.__aenter__@src/bioetl/domain/ports/data_source.py:30;bioetl.domain.ports.data_source.DataSourcePort.__aexit__@src/bioetl/domain/ports/data_source.py:34;bioetl.domain.ports.data_source.DataSourcePort.fetch@src/bioetl/domain/ports/data_source.py:43;bioetl.domain.ports.data_source.DataSourcePort.health_check@src/bioetl/domain/ports/data_source.py:69;bioetl.domain.ports.data_source.DataSourcePort.aclose@src/bioetl/domain/ports/data_source.py:77;bioetl.domain.ports.data_source.FilterableDataSourcePort.fetch_filtered@src/bioetl/domain/ports/data_source.py:100;bioetl.domain.ports.data_source.FilterableDataSourcePort.fetch_multi_filtered@src/bioetl/domain/ports/data_source.py:123;bioetl.domain.ports.data_source.FilterableDataSourcePort.fetch_filtered_with_fallback@src/bioetl/domain/ports/data_source.py:146;bioetl.domain.ports.delta_reader.DeltaReaderPort.read_table@src/bioetl/domain/ports/delta_reader.py:27;bioetl.domain.ports.delta_reader.DeltaReaderPort.get_schema@src/bioetl/domain/ports/delta_reader.py:51;bioetl.domain.ports.delta_reader.DeltaReaderPort.get_row_count@src/bioetl/domain/ports/delta_reader.py:65;bioetl.domain.ports.delta_reader.DeltaReaderPort.table_exists@src/bioetl/domain/ports/delta_reader.py:81;bioetl.domain.ports.delta_reader.DeltaReaderPort.aclose@src/bioetl/domain/ports/delta_reader.py:92;bioetl.domain.ports.dq_config.BronzeDQConfigPort.enabled@src/bioetl/domain/ports/dq_config.py:32;bioetl.domain.ports.dq_config.BronzeDQConfigPort.output_path@src/bioetl/domain/ports/dq_config.py:37;bioetl.domain.ports.dq_config.BronzeDQConfigPort.get_checks_enums@src/bioetl/domain/ports/dq_config.py:41;bioetl.domain.ports.dq_config.BronzeDQConfigPort.get_format_enum@src/bioetl/domain/ports/dq_config.py:49;bioetl.domain.ports.dq_config.SilverDQConfigPort.enabled@src/bioetl/domain/ports/dq_config.py:67;bioetl.domain.ports.dq_config.SilverDQConfigPort.output_path@src/bioetl/domain/ports/dq_config.py:72;bioetl.domain.ports.dq_config.SilverDQConfigPort.get_checks_enums@src/bioetl/domain/ports/dq_config.py:76;bioetl.domain.ports.dq_config.SilverDQConfigPort.get_format_enum@src/bioetl/domain/ports/dq_config.py:84;bioetl.domain.ports.dq_config.GoldDQConfigPort.enabled@src/bioetl/domain/ports/dq_config.py:102;bioetl.domain.ports.dq_config.GoldDQConfigPort.output_path@src/bioetl/domain/ports/dq_config.py:107;bioetl.domain.ports.dq_config.GoldDQConfigPort.get_checks_enums@src/bioetl/domain/ports/dq_config.py:111;bioetl.domain.ports.dq_config.GoldDQConfigPort.get_format_enum@src/bioetl/domain/ports/dq_config.py:119;bioetl.domain.ports.dq_report.BronzeDQAnalyzerPort.analyze@src/bioetl/domain/ports/dq_report.py:54;bioetl.domain.ports.dq_report.SilverDQAnalyzerPort.analyze@src/bioetl/domain/ports/dq_report.py:90
dfa813dca025d9b88577a46428878123c82f79d870bc5a9e2479e758bc847e15,32,3,bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_exact_mass@src/bioetl/domain/schemas/pubchem/compound.py:100;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_monoisotopic_mass@src/bioetl/domain/schemas/pubchem/compound.py:110;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_tpsa@src/bioetl/domain/schemas/pubchem/compound.py:130;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_complexity@src/bioetl/domain/schemas/pubchem/compound.py:139;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_atom_stereo_count@src/bioetl/domain/schemas/pubchem/compound.py:197;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_defined_atom_stereo_count@src/bioetl/domain/schemas/pubchem/compound.py:208;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_undefined_atom_stereo_count@src/bioetl/domain/schemas/pubchem/compound.py:221;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_bond_stereo_count@src/bioetl/domain/schemas/pubchem/compound.py:232;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_defined_bond_stereo_count@src/bioetl/domain/schemas/pubchem/compound.py:243;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_undefined_bond_stereo_count@src/bioetl/domain/schemas/pubchem/compound.py:256;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_isotope_atom_count@src/bioetl/domain/schemas/pubchem/compound.py:267;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_volume_3d@src/bioetl/domain/schemas/pubchem/compound.py:286;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_conformer_count_3d@src/bioetl/domain/schemas/pubchem/compound.py:295;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_feature_acceptor_count_3d@src/bioetl/domain/schemas/pubchem/compound.py:307;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_feature_donor_count_3d@src/bioetl/domain/schemas/pubchem/compound.py:316;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_feature_anion_count_3d@src/bioetl/domain/schemas/pubchem/compound.py:325;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_feature_cation_count_3d@src/bioetl/domain/schemas/pubchem/compound.py:334;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_feature_ring_count_3d@src/bioetl/domain/schemas/pubchem/compound.py:343;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_feature_hydrophobe_count_3d@src/bioetl/domain/schemas/pubchem/compound.py:354;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_effective_rotor_count_3d@src/bioetl/domain/schemas/pubchem/compound.py:363;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_conformer_rmsd_3d@src/bioetl/domain/schemas/pubchem/compound.py:372;bioetl.domain.schemas.pubchem.compound.PubchemMoleculeSchema._check_feature_count_3d@src/bioetl/domain/schemas/pubchem/compound.py:399;bioetl.domain.schemas.pubmed.publication.PubMedPublicationSchema._check_author_count@src/bioetl/domain/schemas/pubmed/publication.py:199;bioetl.domain.schemas.pubmed.publication.PubMedPublicationSchema._check_mesh_heading_count@src/bioetl/domain/schemas/pubmed/publication.py:208;bioetl.domain.schemas.pubmed.publication.PubMedPublicationSchema._check_keyword_count@src/bioetl/domain/schemas/pubmed/publication.py:217;bioetl.domain.schemas.pubmed.publication.PubMedPublicationSchema._check_grant_count@src/bioetl/domain/schemas/pubmed/publication.py:226;bioetl.domain.schemas.pubmed.publication.PubMedPublicationSchema._check_chemical_count@src/bioetl/domain/schemas/pubmed/publication.py:235;bioetl.domain.schemas.uniprot._features.UniprotFeatureSchema._check_cross_reference_count@src/bioetl/domain/schemas/uniprot/_features.py:117;bioetl.domain.schemas.uniprot._features.UniprotFeatureSchema._check_feature_count@src/bioetl/domain/schemas/uniprot/_features.py:128;bioetl.domain.schemas.uniprot._features.UniprotFeatureSchema._check_keyword_count@src/bioetl/domain/schemas/uniprot/_features.py:137;bioetl.domain.schemas.uniprot._features.UniprotFeatureSchema._check_publication_count@src/bioetl/domain/schemas/uniprot/_features.py:146;bioetl.domain.schemas.uniprot._features.UniprotFeatureSchema._check_isoform_count@src/bioetl/domain/schemas/uniprot/_features.py:155
2301df6d92615081267fe2b416d7b5eac5ebcba5a260b516e4e481f54f17c5c8,21,4,bioetl.domain.contracts.gold.chembl.ChEMBLActivityGoldSchema.Config@src/bioetl/domain/contracts/gold/chembl.py:129;bioetl.domain.contracts.gold.chembl.ChEMBLAssayGoldSchema.Config@src/bioetl/domain/contracts/gold/chembl.py:187;bioetl.domain.contracts.gold.chembl.ChEMBLAssayParametersGoldSchema.Config@src/bioetl/domain/contracts/gold/chembl.py:235;bioetl.domain.contracts.gold.chembl.ChEMBLCellLineGoldSchema.Config@src/bioetl/domain/contracts/gold/chembl.py:274;bioetl.domain.contracts.gold.chembl.ChEMBLCompoundRecordGoldSchema.Config@src/bioetl/domain/contracts/gold/chembl.py:309;bioetl.domain.contracts.gold.chembl.ChEMBLDocumentGoldSchema.Config@src/bioetl/domain/contracts/gold/chembl.py:368;bioetl.domain.contracts.gold.chembl.ChEMBLDocumentSimilarityGoldSchema.Config@src/bioetl/domain/contracts/gold/chembl.py:410;bioetl.domain.contracts.gold.chembl.ChEMBLDocumentTermGoldSchema.Config@src/bioetl/domain/contracts/gold/chembl.py:443;bioetl.domain.contracts.gold.chembl.ChEMBLMoleculeGoldSchema.Config@src/bioetl/domain/contracts/gold/chembl.py:517;bioetl.domain.contracts.gold.chembl.ChEMBLProteinClassGoldSchema.Config@src/bioetl/domain/contracts/gold/chembl.py:559;bioetl.domain.contracts.gold.chembl.ChEMBLTargetGoldSchema.Config@src/bioetl/domain/contracts/gold/chembl.py:598;bioetl.domain.contracts.gold.chembl.ChEMBLTargetComponentGoldSchema.Config@src/bioetl/domain/contracts/gold/chembl.py:634;bioetl.domain.contracts.gold.chembl.ChEMBLTissueGoldSchema.Config@src/bioetl/domain/contracts/gold/chembl.py:692;bioetl.domain.contracts.gold.chembl.ChEMBLSubcellularFractionGoldSchema.Config@src/bioetl/domain/contracts/gold/chembl.py:742;bioetl.domain.contracts.gold.pubchem.PubChemCompoundGoldSchema.Config@src/bioetl/domain/contracts/gold/pubchem.py:51;bioetl.domain.contracts.gold.publications.PubMedPublicationGoldSchema.Config@src/bioetl/domain/contracts/gold/publications.py:149;bioetl.domain.contracts.gold.publications.CrossRefPublicationGoldSchema.Config@src/bioetl/domain/contracts/gold/publications.py:252;bioetl.domain.contracts.gold.publications.OpenAlexPublicationGoldSchema.Config@src/bioetl/domain/contracts/gold/publications.py:361;bioetl.domain.contracts.gold.publications.SemanticScholarPublicationGoldSchema.Config@src/bioetl/domain/contracts/gold/publications.py:457;bioetl.domain.contracts.gold.uniprot.UniProtProteinGoldSchema.Config@src/bioetl/domain/contracts/gold/uniprot.py:83;bioetl.domain.contracts.gold.uniprot.UniProtIDMappingGoldSchema.Config@src/bioetl/domain/contracts/gold/uniprot.py:134
ad2e13b69c4fc1fda46413f740f426fc1793cfc6d6da8d226ba619f1aef48be7,20,6,bioetl.application.pipelines.chembl._pipelines.ChEMBLPublicationSimilarityPipeline@src/bioetl/application/pipelines/chembl/_pipelines.py:47;bioetl.application.pipelines.chembl._pipelines.ChEMBLPublicationTermPipeline@src/bioetl/application/pipelines/chembl/_pipelines.py:55;bioetl.application.pipelines.chembl._pipelines.ChEMBLSubcellularFractionPipeline@src/bioetl/application/pipelines/chembl/_pipelines.py:63;bioetl.application.pipelines.common.base_publication_transformer.BasePublicationTransformer._pre_extract_validation@src/bioetl/application/pipelines/common/base_publication_transformer.py:93;bioetl.application.pipelines.generic.GenericPipeline@src/bioetl/application/pipelines/generic.py:33;bioetl.application.pipelines.pubchem.PubChemCompoundPipeline@src/bioetl/application/pipelines/pubchem/__init__.py:17;bioetl.application.pipelines.pubmed.PubMedPublicationPipeline@src/bioetl/application/pipelines/pubmed/__init__.py:17;bioetl.application.pipelines.uniprot.UniProtProteinPipeline@src/bioetl/application/pipelines/uniprot/__init__.py:21;bioetl.composition.observability.ObservabilityContractError@src/bioetl/composition/observability.py:24;bioetl.domain.ports.noop._NoOpSpan.__exit__@src/bioetl/domain/ports/noop.py:48;bioetl.domain.ports.noop.NoOpMetrics.observe_histogram@src/bioetl/domain/ports/noop.py:150;bioetl.domain.ports.noop.NoOpAudit.log_write@src/bioetl/domain/ports/noop.py:181;bioetl.infrastructure.adapters.base.BaseHttpAdapter.aclose@src/bioetl/infrastructure/adapters/base.py:118;bioetl.infrastructure.adapters.filterable_mixin.FilterableStubMixin@src/bioetl/infrastructure/adapters/filterable_mixin.py:136;bioetl.infrastructure.observability.anomaly.detectors.base.DetectorStrategy.detect@src/bioetl/infrastructure/observability/anomaly/detectors/base.py:32;bioetl.infrastructure.observability.anomaly.detectors.base.DetectorStrategy.get_severity@src/bioetl/infrastructure/observability/anomaly/detectors/base.py:55;bioetl.infrastructure.schemas.pipeline_config.InputFilterConfig@src/bioetl/infrastructure/schemas/pipeline_config.py:316;bioetl.infrastructure.schemas.pipeline_config.GoldColumnFilterConfig@src/bioetl/infrastructure/schemas/pipeline_config.py:636;bioetl.infrastructure.schemas.pipeline_config.GoldFiltersConfig@src/bioetl/infrastructure/schemas/pipeline_config.py:651;bioetl.interfaces.cli.commands.quarantine.quarantine@src/bioetl/interfaces/cli/commands/quarantine.py:30
b66a6af1e1badd23c319630063744751dd712e48363720879985be0336b1a9f6,16,3,bioetl.domain.entities.bioactivity.Bioactivity.__post_init__@src/bioetl/domain/entities/bioactivity.py:163;bioetl.domain.entities.chembl_activity.Assay.__post_init__@src/bioetl/domain/entities/chembl_activity.py:94;bioetl.domain.entities.chembl_assay_parameters.AssayParameters.__post_init__@src/bioetl/domain/entities/chembl_assay_parameters.py:65;bioetl.domain.entities.chembl_compound_record.CompoundRecord.__post_init__@src/bioetl/domain/entities/chembl_compound_record.py:39;bioetl.domain.entities.chembl_structures.ChemblPublication.__post_init__@src/bioetl/domain/entities/chembl_structures.py:41;bioetl.domain.entities.chembl_structures.DocumentTerm.__post_init__@src/bioetl/domain/entities/chembl_structures.py:73;bioetl.domain.entities.chembl_structures.Target.__post_init__@src/bioetl/domain/entities/chembl_structures.py:128;bioetl.domain.entities.chembl_structures.TargetComponent.__post_init__@src/bioetl/domain/entities/chembl_structures.py:167;bioetl.domain.entities.chembl_structures.CellLine.__post_init__@src/bioetl/domain/entities/chembl_structures.py:211;bioetl.domain.entities.chembl_structures.Molecule.__post_init__@src/bioetl/domain/entities/chembl_structures.py:322;bioetl.domain.entities.chembl_structures.DocumentSimilarity.__post_init__@src/bioetl/domain/entities/chembl_structures.py:370;bioetl.domain.entities.chembl_structures.ProteinClassification.__post_init__@src/bioetl/domain/entities/chembl_structures.py:418;bioetl.domain.entities.chembl_subcellular_fraction.SubcellularFraction.__post_init__@src/bioetl/domain/entities/chembl_subcellular_fraction.py:48;bioetl.domain.entities.chembl_tissue.Tissue.__post_init__@src/bioetl/domain/entities/chembl_tissue.py:37;bioetl.domain.entities.uniprot.IDMappingResult.__post_init__@src/bioetl/domain/entities/uniprot.py:65;bioetl.domain.entities.uniprot.UniprotTarget.__post_init__@src/bioetl/domain/entities/uniprot.py:249
b2874c2b7ca2fdde2bf7424b72ac9760d68e4a7bc298bbff32ac3c6455a1bf84,11,6,bioetl.domain.schemas.chembl.activity.ActivitySchema.Config@src/bioetl/domain/schemas/chembl/activity.py:233;bioetl.domain.schemas.chembl.assay.AssaySchema.Config@src/bioetl/domain/schemas/chembl/assay.py:211;bioetl.domain.schemas.chembl.assay_parameters.AssayParametersSchema.Config@src/bioetl/domain/schemas/chembl/assay_parameters.py:104;bioetl.domain.schemas.chembl.cell_line.CellLineSchema.Config@src/bioetl/domain/schemas/chembl/cell_line.py:87;bioetl.domain.schemas.chembl.compound_record.CompoundRecordSchema.Config@src/bioetl/domain/schemas/chembl/compound_record.py:66;bioetl.domain.schemas.chembl.molecule.MoleculeSchema.Config@src/bioetl/domain/schemas/chembl/molecule.py:283;bioetl.domain.schemas.chembl.protein_classification.ProteinClassificationSchema.Config@src/bioetl/domain/schemas/chembl/protein_classification.py:54;bioetl.domain.schemas.chembl.publication_similarity.PublicationSimilaritySchema.Config@src/bioetl/domain/schemas/chembl/publication_similarity.py:63;bioetl.domain.schemas.chembl.publication_term.PublicationTermSchema.Config@src/bioetl/domain/schemas/chembl/publication_term.py:59;bioetl.domain.schemas.chembl.target.TargetSchema.Config@src/bioetl/domain/schemas/chembl/target.py:97;bioetl.domain.schemas.chembl.target_component.TargetComponentSchema.Config@src/bioetl/domain/schemas/chembl/target_component.py:61
d987beb6e6f6fb2e477b93f840d033eb4459d307929d08ceeab67615cf293c93,9,7,bioetl.application.composite.aggregator.EnricherAggregator.__init__@src/bioetl/application/composite/aggregator.py:26;bioetl.application.composite.column_renamer.ColumnRenamer.__init__@src/bioetl/application/composite/column_renamer.py:53;bioetl.application.composite.deduplication.EnricherDeduplicator.__init__@src/bioetl/application/composite/deduplication.py:20;bioetl.application.composite.preflight_validator.CompositePreflightValidator.__init__@src/bioetl/application/composite/preflight_validator.py:131;bioetl.infrastructure.adapters.input.csv_filter_reader.CsvFilterReader.__init__@src/bioetl/infrastructure/adapters/input/csv_filter_reader.py:26;bioetl.infrastructure.observability.logging.StructlogLogger.__init__@src/bioetl/infrastructure/observability/logging.py:73;bioetl.infrastructure.observability.metrics_server_adapter.MetricsServerAdapter.__init__@src/bioetl/infrastructure/observability/metrics_server_adapter.py:36;bioetl.infrastructure.storage.arrow_converter.ArrowDataConverter.__init__@src/bioetl/infrastructure/storage/arrow_converter.py:31;bioetl.infrastructure.storage.metadata_writer.MetadataWriter.__init__@src/bioetl/infrastructure/storage/metadata_writer.py:63
b237667f9d26a61099d52811a2632df91e4cf4288c00d4f7556fc7efc0265705,8,8,bioetl.domain.value_objects.academic_ids.OpenAlexId.from_raw@src/bioetl/domain/value_objects/academic_ids.py:72;bioetl.domain.value_objects.academic_ids.SemanticScholarId.from_raw@src/bioetl/domain/value_objects/academic_ids.py:119;bioetl.domain.value_objects.academic_ids.ISSN.from_raw@src/bioetl/domain/value_objects/academic_ids.py:171;bioetl.domain.value_objects.academic_ids.ORCID.from_raw@src/bioetl/domain/value_objects/academic_ids.py:247;bioetl.domain.value_objects.chemical.InChIKey.from_raw@src/bioetl/domain/value_objects/chemical.py:113;bioetl.domain.value_objects.identifiers.ChemblId.from_raw@src/bioetl/domain/value_objects/identifiers.py:81;bioetl.domain.value_objects.identifiers.UniProtId.from_raw@src/bioetl/domain/value_objects/identifiers.py:170;bioetl.domain.value_objects.publications.DOI.from_raw@src/bioetl/domain/value_objects/publications.py:100
f72629ffeae6764b578b82fab7f1c1858dfee53382e0cd9ee80dc46d9872ed51,7,3,bioetl.infrastructure.adapters.chembl.metadata.ChemblMetadataMixin.clear_request_collector@src/bioetl/infrastructure/adapters/chembl/metadata.py:35;bioetl.infrastructure.adapters.crossref.client.CrossRefAdapter.clear_request_collector@src/bioetl/infrastructure/adapters/crossref/client.py:393;bioetl.infrastructure.adapters.openalex.client.OpenAlexAdapter.clear_request_collector@src/bioetl/infrastructure/adapters/openalex/client.py:706;bioetl.infrastructure.adapters.pubchem.client.PubChemAdapter.clear_request_collector@src/bioetl/infrastructure/adapters/pubchem/client.py:333;bioetl.infrastructure.adapters.pubmed._health.PubMedHealthMixin.clear_request_collector@src/bioetl/infrastructure/adapters/pubmed/_health.py:99;bioetl.infrastructure.adapters.semanticscholar.adapter.SemanticScholarAdapter.clear_request_collector@src/bioetl/infrastructure/adapters/semanticscholar/adapter.py:581;bioetl.infrastructure.adapters.uniprot.client.UniProtAdapter.clear_request_collector@src/bioetl/infrastructure/adapters/uniprot/client.py:687
c49598413ffe8820edf7cae1b62f143ade70c77ef3e878f86c849a355fea5063,7,3,bioetl.infrastructure.adapters.chembl.metadata.ChemblMetadataMixin.request_count@src/bioetl/infrastructure/adapters/chembl/metadata.py:40;bioetl.infrastructure.adapters.crossref.client.CrossRefAdapter.request_count@src/bioetl/infrastructure/adapters/crossref/client.py:398;bioetl.infrastructure.adapters.openalex.client.OpenAlexAdapter.request_count@src/bioetl/infrastructure/adapters/openalex/client.py:711;bioetl.infrastructure.adapters.pubchem.client.PubChemAdapter.request_count@src/bioetl/infrastructure/adapters/pubchem/client.py:342;bioetl.infrastructure.adapters.pubmed._health.PubMedHealthMixin.request_count@src/bioetl/infrastructure/adapters/pubmed/_health.py:104;bioetl.infrastructure.adapters.semanticscholar.adapter.SemanticScholarAdapter.request_count@src/bioetl/infrastructure/adapters/semanticscholar/adapter.py:586;bioetl.infrastructure.adapters.uniprot.client.UniProtAdapter.request_count@src/bioetl/infrastructure/adapters/uniprot/client.py:692
