id,dashboard,panel_id,scenario,candidate,from_utc,to_utc,status,sample_size,absolute_error,relative_error,tolerance,method,note
bioetl-control-plane-v1-891-normal-15m,bioetl-control-plane-v1,891,normal-15m,False,2026-09-07T06:45:00+00:00,2026-09-07T07:00:00+00:00,PASS,1,0.0,,1e-09,max,
bioetl-control-plane-v1-891-normal-6h,bioetl-control-plane-v1,891,normal-6h,False,2026-09-07T01:00:00+00:00,2026-09-07T07:00:00+00:00,PASS,1,0.0,,1e-09,max,
bioetl-control-plane-v1-891-scrape-anomaly,bioetl-control-plane-v1,891,scrape-anomaly,False,2026-09-07T07:05:00+00:00,2026-09-07T07:10:00+00:00,PASS,1,0.0,,1e-09,max,
bioetl-control-plane-v1-891-default,bioetl-control-plane-v1,891,default,False,2026-09-07T01:00:00+00:00,2026-09-07T07:00:00+00:00,NOT_VERIFIABLE,0,,,1e-09,max,"Source samples absent/insufficient; empty matches UNKNOWN, but no numeric agreement is claimed."
bioetl-control-plane-v1-891-all,bioetl-control-plane-v1,891,all,False,2026-09-07T01:00:00+00:00,2026-09-07T07:00:00+00:00,PASS,1,0.0,,1e-09,max,
bioetl-control-plane-v1-891-multi,bioetl-control-plane-v1,891,multi,False,2026-09-07T01:00:00+00:00,2026-09-07T07:00:00+00:00,PASS,1,0.0,,1e-09,max,
bioetl-control-plane-v1-891-empty,bioetl-control-plane-v1,891,empty,False,2026-09-07T01:00:00+00:00,2026-09-07T07:00:00+00:00,NOT_VERIFIABLE,0,,,1e-09,max,"Source samples absent/insufficient; empty matches UNKNOWN, but no numeric agreement is claimed."
bioetl-control-plane-v1-891-regex-special,bioetl-control-plane-v1,891,regex-special,False,2026-09-07T01:00:00+00:00,2026-09-07T07:00:00+00:00,NOT_VERIFIABLE,0,,,1e-09,max,"Source samples absent/insufficient; empty matches UNKNOWN, but no numeric agreement is claimed."
bioetl-control-plane-v1-891-selected-missing-run,bioetl-control-plane-v1,891,selected-missing-run,False,2026-09-07T01:00:00+00:00,2026-09-07T07:00:00+00:00,PASS,1,0.0,,1e-09,max,
bioetl-control-plane-v1-130-normal-15m,bioetl-control-plane-v1,130,normal-15m,False,2026-09-07T06:45:00+00:00,2026-09-07T07:00:00+00:00,PASS,1,0,,1e-09,blocker_count,
bioetl-control-plane-v1-130-normal-6h,bioetl-control-plane-v1,130,normal-6h,False,2026-09-07T01:00:00+00:00,2026-09-07T07:00:00+00:00,PASS,1,0,,1e-09,blocker_count,
bioetl-control-plane-v1-130-scrape-anomaly,bioetl-control-plane-v1,130,scrape-anomaly,False,2026-09-07T07:05:00+00:00,2026-09-07T07:10:00+00:00,PASS,1,0,,1e-09,blocker_count,
bioetl-control-plane-v1-130-default,bioetl-control-plane-v1,130,default,False,2026-09-07T01:00:00+00:00,2026-09-07T07:00:00+00:00,NOT_VERIFIABLE,0,,,1e-09,blocker_count,"Source samples absent/insufficient; empty matches UNKNOWN, but no numeric agreement is claimed."
bioetl-control-plane-v1-130-all,bioetl-control-plane-v1,130,all,False,2026-09-07T01:00:00+00:00,2026-09-07T07:00:00+00:00,PASS,1,0,,1e-09,blocker_count,
bioetl-control-plane-v1-130-multi,bioetl-control-plane-v1,130,multi,False,2026-09-07T01:00:00+00:00,2026-09-07T07:00:00+00:00,PASS,1,0,,1e-09,blocker_count,
