obj_type,name,module,file,line,layer,signature,loc,base_classes,suffix,public_methods,private_methods,prod_refs,test_refs,usage_class
function,_deep_merge,bioetl.infrastructure.config_loader,src/bioetl/infrastructure/config_loader.py,41,infrastructure,"(base: dict[str, Any], override: dict[str, Any]) -> dict[str, Any]",11,,,,,14,17,ACTIVE
function,_load_base_config,bioetl.infrastructure.config_loader,src/bioetl/infrastructure/config_loader.py,54,infrastructure,"(config_path: Path) -> dict[str, Any]",14,,,,,1,0,SELF_ONLY
function,_apply_file_reference_defaults,bioetl.infrastructure.config_loader,src/bioetl/infrastructure/config_loader.py,70,infrastructure,"(config: dict[str, Any], provider: str, entity_type: str) -> None",18,,,,,1,0,SELF_ONLY
function,_load_column_groups_config,bioetl.infrastructure.config_loader,src/bioetl/infrastructure/config_loader.py,90,infrastructure,"(config_path: Path, column_groups_file: str) -> list[dict[str, Any]] | None",20,,,,,1,0,SELF_ONLY
function,_load_data_schema_config,bioetl.infrastructure.config_loader,src/bioetl/infrastructure/config_loader.py,112,infrastructure,"(config_path: Path, data_schema_file: str) -> dict[str, Any] | None",37,,,,,1,0,SELF_ONLY
function,_apply_layer_defaults,bioetl.infrastructure.config_loader,src/bioetl/infrastructure/config_loader.py,151,infrastructure,"(layer: dict[str, Any], provider: str, entity_type: str, layer_name: str, primary_keys: list[str]) -> None",26,,,,,1,0,SELF_ONLY
function,_apply_convention_defaults,bioetl.infrastructure.config_loader,src/bioetl/infrastructure/config_loader.py,179,infrastructure,"(config: dict[str, Any]) -> dict[str, Any]",31,,,,,1,1,SELF_ONLY
function,load_source_config,bioetl.infrastructure.config_loader,src/bioetl/infrastructure/config_loader.py,213,infrastructure,(provider: str) -> SourceYamlConfig,15,,,,,9,27,ACTIVE
function,_load_filter_config,bioetl.infrastructure.config_loader,src/bioetl/infrastructure/config_loader.py,230,infrastructure,"(config_path: Path, filter_config_file: str) -> dict[str, Any] | None",18,,,,,1,0,SELF_ONLY
function,_merge_filter_config,bioetl.infrastructure.config_loader,src/bioetl/infrastructure/config_loader.py,250,infrastructure,"(config: dict[str, Any], filter_config: dict[str, Any], explicit_entity_config: dict[str, Any]) -> None",57,,,,,1,0,SELF_ONLY
