obj_type,name,module,file,line,layer,signature,loc,base_classes,suffix,public_methods,private_methods,prod_refs,test_refs,usage_class
class,RetentionManager,bioetl.infrastructure.storage.retention_manager,src/bioetl/infrastructure/storage/retention_manager.py,31,infrastructure,,185,,,vacuum|optimize|get_table_info|time_travel,__init__|_get_table_path,9,0,PRODUCTION_ONLY
function,_get_bioetl_version,bioetl.infrastructure.storage.metadata_builder,src/bioetl/infrastructure/storage/metadata_builder.py,27,infrastructure,() -> str,10,,,,,8,0,PRODUCTION_ONLY
function,coerce_null_types_for_delta,bioetl.infrastructure.storage.base_delta_writer,src/bioetl/infrastructure/storage/base_delta_writer.py,91,infrastructure,(table: pa.Table) -> pa.Table,42,,,,,5,0,PRODUCTION_ONLY
class,NotSupportedMultiFilterMixin,bioetl.infrastructure.adapters.filterable_mixin,src/bioetl/infrastructure/adapters/filterable_mixin.py,37,infrastructure,,47,,,fetch_multi_filtered,,4,0,PRODUCTION_ONLY
class,FilterableStubMixin,bioetl.infrastructure.adapters.filterable_mixin,src/bioetl/infrastructure/adapters/filterable_mixin.py,136,infrastructure,,21,NotSupportedMultiFilterMixin|DelegatingFallbackMixin,,,,5,0,PRODUCTION_ONLY
class,CachedBronzeDataSource,bioetl.infrastructure.adapters.cached_bronze_data_source,src/bioetl/infrastructure/adapters/cached_bronze_data_source.py,33,infrastructure,,225,,,provider_name|health_check|aclose|fetch,__init__|__aenter__|__aexit__|_parse_date|_list_batches_sorted,10,0,PRODUCTION_ONLY
class,UniProtProteinRecord,bioetl.infrastructure.adapters.uniprot.models,src/bioetl/infrastructure/adapters/uniprot/models.py,296,infrastructure,,82,BaseModel,,,,4,0,PRODUCTION_ONLY
class,UniProtSearchResponse,bioetl.infrastructure.adapters.uniprot.models,src/bioetl/infrastructure/adapters/uniprot/models.py,380,infrastructure,,8,BaseModel,,,,2,0,PRODUCTION_ONLY
class,UniProtFeatureRecord,bioetl.infrastructure.adapters.uniprot.models,src/bioetl/infrastructure/adapters/uniprot/models.py,394,infrastructure,,11,BaseModel,,,,3,0,PRODUCTION_ONLY
class,UniProtSequenceRecord,bioetl.infrastructure.adapters.uniprot.models,src/bioetl/infrastructure/adapters/uniprot/models.py,410,infrastructure,,12,BaseModel,,,,3,0,PRODUCTION_ONLY
class,FastaParser,bioetl.infrastructure.adapters.uniprot.fasta_parser,src/bioetl/infrastructure/adapters/uniprot/fasta_parser.py,12,infrastructure,,82,,,parse|parse_header,,3,0,PRODUCTION_ONLY
class,PubMedHealthMixin,bioetl.infrastructure.adapters.pubmed._health,src/bioetl/infrastructure/adapters/pubmed/_health.py,24,infrastructure,,81,,,get_source_metadata|clear_request_collector|request_count,_probe_health|_fallback_health_status|_get_health_endpoint,3,0,PRODUCTION_ONLY
class,PubMedArticleRecord,bioetl.infrastructure.adapters.pubmed.models,src/bioetl/infrastructure/adapters/pubmed/models.py,23,infrastructure,,18,BaseModel,,,,3,0,PRODUCTION_ONLY
class,PubMedExtendedRecord,bioetl.infrastructure.adapters.pubmed.models,src/bioetl/infrastructure/adapters/pubmed/models.py,141,infrastructure,,97,BaseModel,,,,3,0,PRODUCTION_ONLY
class,PubMedSearchResponse,bioetl.infrastructure.adapters.pubmed.models,src/bioetl/infrastructure/adapters/pubmed/models.py,268,infrastructure,,8,BaseModel,,,,2,0,PRODUCTION_ONLY
class,PubMedXmlProcessor,bioetl.infrastructure.adapters.pubmed.xml_processor,src/bioetl/infrastructure/adapters/pubmed/xml_processor.py,13,infrastructure,,64,,,parse_response|extract_record|find_articles|extract_all_records,,8,0,PRODUCTION_ONLY
class,PubMedSearchMixin,bioetl.infrastructure.adapters.pubmed._search,src/bioetl/infrastructure/adapters/pubmed/_search.py,24,infrastructure,,79,,,,_get_pmids|_search_by_title,3,0,PRODUCTION_ONLY
class,PubMedFetchMixin,bioetl.infrastructure.adapters.pubmed._fetch,src/bioetl/infrastructure/adapters/pubmed/_fetch.py,25,infrastructure,,74,,,,_build_fetch_params|_fetch_batch|_yield_articles_from_pmids,4,0,PRODUCTION_ONLY
class,CrossRefPublicationRecord,bioetl.infrastructure.adapters.crossref.models,src/bioetl/infrastructure/adapters/crossref/models.py,160,infrastructure,,166,BaseModel,,,,6,0,PRODUCTION_ONLY
class,CrossRefPublicationsResponse,bioetl.infrastructure.adapters.crossref.models,src/bioetl/infrastructure/adapters/crossref/models.py,359,infrastructure,,11,BaseModel,,,,2,0,PRODUCTION_ONLY
class,CrossRefPublicationResponse,bioetl.infrastructure.adapters.crossref.models,src/bioetl/infrastructure/adapters/crossref/models.py,372,infrastructure,,11,BaseModel,,,,2,0,PRODUCTION_ONLY
function,_create_crossref_adapter,bioetl.infrastructure.adapters.crossref.client,src/bioetl/infrastructure/adapters/crossref/client.py,413,infrastructure,"(http_client: UnifiedHTTPClient | None, logger: LoggerPort | None, settings: Settings | None, **kwargs: Any) -> CrossRefAdapter",45,,,,,5,0,PRODUCTION_ONLY
class,PubchemMoleculeApiRecord,bioetl.infrastructure.adapters.pubchem.models,src/bioetl/infrastructure/adapters/pubchem/models.py,19,infrastructure,,58,BaseModel,,,,6,0,PRODUCTION_ONLY
class,PubChemSubstanceRecord,bioetl.infrastructure.adapters.pubchem.models,src/bioetl/infrastructure/adapters/pubchem/models.py,79,infrastructure,,29,BaseModel,,,,3,0,PRODUCTION_ONLY
class,PubChemAssayRecord,bioetl.infrastructure.adapters.pubchem.models,src/bioetl/infrastructure/adapters/pubchem/models.py,110,infrastructure,,18,BaseModel,,,,3,0,PRODUCTION_ONLY
class,PubchemMoleculeDetailRecord,bioetl.infrastructure.adapters.pubchem.models,src/bioetl/infrastructure/adapters/pubchem/models.py,133,infrastructure,,64,BaseModel,,,,2,0,PRODUCTION_ONLY
class,PubChemBioactivityRecord,bioetl.infrastructure.adapters.pubchem.models,src/bioetl/infrastructure/adapters/pubchem/models.py,202,infrastructure,,27,BaseModel,,,,2,0,PRODUCTION_ONLY
constant,SEMANTICSCHOLAR_BASE_URL,bioetl.infrastructure.adapters.semanticscholar.constants,src/bioetl/infrastructure/adapters/semanticscholar/constants.py,5,infrastructure,,1,,,,,9,0,PRODUCTION_ONLY
class,ChemblPageMeta,bioetl.infrastructure.adapters.chembl.models,src/bioetl/infrastructure/adapters/chembl/models.py,47,infrastructure,,10,BaseModel,,,,9,0,PRODUCTION_ONLY
class,ChemblActivityRecord,bioetl.infrastructure.adapters.chembl.models,src/bioetl/infrastructure/adapters/chembl/models.py,62,infrastructure,,136,BaseModel,,,,9,0,PRODUCTION_ONLY
class,ChemblActivityResponse,bioetl.infrastructure.adapters.chembl.models,src/bioetl/infrastructure/adapters/chembl/models.py,200,infrastructure,,14,BaseModel,,,,3,0,PRODUCTION_ONLY
class,ChemblAssayRecord,bioetl.infrastructure.adapters.chembl.models,src/bioetl/infrastructure/adapters/chembl/models.py,219,infrastructure,,55,BaseModel,,,,4,0,PRODUCTION_ONLY
class,ChemblAssayResponse,bioetl.infrastructure.adapters.chembl.models,src/bioetl/infrastructure/adapters/chembl/models.py,276,infrastructure,,11,BaseModel,,,,3,0,PRODUCTION_ONLY
class,ChemblMoleculeRecord,bioetl.infrastructure.adapters.chembl.models,src/bioetl/infrastructure/adapters/chembl/models.py,343,infrastructure,,54,BaseModel,,,,5,0,PRODUCTION_ONLY
class,ChemblMoleculeResponse,bioetl.infrastructure.adapters.chembl.models,src/bioetl/infrastructure/adapters/chembl/models.py,399,infrastructure,,11,BaseModel,,,,4,0,PRODUCTION_ONLY
class,ChemblTargetRecord,bioetl.infrastructure.adapters.chembl.models,src/bioetl/infrastructure/adapters/chembl/models.py,415,infrastructure,,18,BaseModel,,,,4,0,PRODUCTION_ONLY
class,ChemblTargetResponse,bioetl.infrastructure.adapters.chembl.models,src/bioetl/infrastructure/adapters/chembl/models.py,435,infrastructure,,11,BaseModel,,,,3,0,PRODUCTION_ONLY
class,ChemblPublicationApiRecord,bioetl.infrastructure.adapters.chembl.models,src/bioetl/infrastructure/adapters/chembl/models.py,467,infrastructure,,47,BaseModel,,,,5,0,PRODUCTION_ONLY
class,ChemblPublicationResponse,bioetl.infrastructure.adapters.chembl.models,src/bioetl/infrastructure/adapters/chembl/models.py,516,infrastructure,,15,BaseModel,,,,3,0,PRODUCTION_ONLY
