slice	runtime_sec	status	error_count
src/bioetl/application/core	22	error	26
src/bioetl/application/pipelines/common	3	ok	
src/bioetl/composition/bootstrap/runtime	3	error	2
src/bioetl/composition/factories/pipeline	4	error	2
src/bioetl/infrastructure/storage	13	error	4
src/bioetl/interfaces/cli	11	error	168
src/bioetl/composition/bootstrap/runtime/runner_assembly.py	2	ok	
src/bioetl/composition/factories/pipeline/runner_assembly.py	2	ok	
src/bioetl/application/pipelines/common/base_publication_transformer.py	1	ok	
src/bioetl/infrastructure/storage/silver/validation_operations.py	2	ok	
src/bioetl/infrastructure/storage/silver/metadata_operations.py	2	ok	
src/bioetl/infrastructure/storage/silver/pipeline_helpers.py	1	ok	
src/bioetl/infrastructure/storage/silver/merge_resilience_helpers.py	2	ok	
src/bioetl/infrastructure/storage/gold/io_mixin.py	1	ok	
src/bioetl/infrastructure/storage/gold/io_delta_runtime.py	2	ok	
src/bioetl/infrastructure/storage/gold/metadata_operations.py	1	ok	
src/bioetl/domain/schemas/pubmed/publication.py	1	error	10
